0002BB8B 0002BCA4 _BaseDllWriteVariableValue@16
0002BCF3 0002BD77 _ReadFileEx@20
0002BD7C 0002BDA8 _BasepIoCompletionSimple@12
0002BDAD 0002BE2D _GetHandleInformation@8
0002BEF9 0002BF05 _AddRefActCtx@4
0002BFCE 0002BFEB _CreateTimerQueue@0
0002BFF0 0002C01F _UnregisterWait@4
0002C024 0002C046 _BindIoCompletionCallback@12
0002C04B 0002C051 _RtlSetIoCompletionCallback@12
0002C056 0002C075 _PulseEvent@4
0002C07A 0002C0D9 _QueueUserAPC@12
0002C0DE 0002C135 _BaseDispatchAPC@12
0002C162 0002C1BA _UpdateUserInfoCache@0
0002C1DF 0002C27F _DosPathToSessionPathW@12
0002C2CB 0002C32B _GetLogicalDriveStringsA@8
0002C330 0002C39E _SetPriorityClass@8
0002C3B6 0002C3D1 _GlobalGetAtomNameW@12
0002C593 0002C61B _BasepShimCacheRemoveEntry@12
0002C65C 0002C826 _WaitNamedPipeW@8
0002C865 0002C88E _CloseProfileUserMapping@0
0002C8E5 0002C93C _SetProcessShutdownParameters@8
0002CA3F 0002CA92 _OpenSemaphoreA@12
0002CA97 0002CAF6 _SetInformationJobObject@16
0002CAFB 0002CB5B _CreateJobObjectW@8
0002CB9A 0002CBE8 _BasepCreateDefaultTimerQueue@0
0002CC01 0002CC20 _CancelWaitableTimer@4
0002CC83 0002CCCF _CreateMailslotA@16
0002CCD4 0002CDCB _CreateMailslotW@16
0002CDD0 0002CE24 _SetMailslotInfo@8
0002CEAA 0002CF48 _DnsHostnameToComputerNameW@12
0002CF4D 0002CF53 _RtlDnsHostNameToComputerName@12
0002CF58 0002CF7B _FindVolumeClose@4
0002CF93 0002D239 _FindNextVolumeW@12
0002D2A7 0002D362 _FindFirstVolumeW@8
0002D367 0002D3A7 _GetSystemTimeAdjustment@12
0002D4A5 0002D9A5 _MapSortKey@28
0002D9AA 0002D9B0 _wcslen
0002D9B5 0002D9EA _SetConsoleTitleW@4
0002DA01 0002DA93 _SetConsoleTitleInternal@12
0002DC3B 0002DC64 _BaseDllWriteApplicationVariables@8
0002DC79 0002DD88 _BaseDllDeleteApplicationVariables@8
0002DD9D 0002DE32 _WriteFileGather@20
0002DE49 0002DEE2 _ReadFileScatter@20
