0000AA00 0000AA92 ?GetFormat@CCoOutputPin@@UAGJPAPAU_AMMediaType@@@Z
0000AA97 0000AAC3 ?GetNumberOfCapabilities@CCoOutputPin@@UAGJPAH0@Z
0000AAC8 0000ABCF ?GetStreamCaps@CCoOutputPin@@UAGJHPAPAU_AMMediaType@@PAE@Z
0000ABD4 0000AC75 ?put_KeyFrameRate@CCoOutputPin@@UAGJJ@Z
0000AC7A 0000ACA1 ?get_KeyFrameRate@CCoOutputPin@@UAGJPAJ@Z
0000ACA6 0000AD11 ?put_Quality@CCoOutputPin@@UAGJN@Z
0000AD16 0000AD56 ?get_Quality@CCoOutputPin@@UAGJPAN@Z
0000AD5B 0000AD7E ?get_WindowSize@CCoOutputPin@@UAGJPA_K@Z
0000AD83 0000AD8B ?GetPositions@CAviDest@@UAGJPA_J0@Z
0000AD90 0000AFB7 ?GetInfo@CCoOutputPin@@UAGJPAGPAH01PAJ2PAN2@Z
0000AFBC 0000AFC9 ?AddRef@CCoOutputPin@@WJM@AGKXZ
0000AFCE 0000AFDB ?Release@CWaveInOutputPin@@WJM@AGKXZ
0000AFE0 0000AFED ?QueryInterface@CCoOutputPin@@WKA@AGJABU_GUID@@PAPAX@Z
0000AFF2 0000AFFF ?AddRef@CCoOutputPin@@WKA@AGKXZ
0000B004 0000B011 ?Release@CCoOutputPin@@WKA@AGKXZ
0000B016 0000B067 ??0CCoOutputPin@@QAE@PAGPAVCAVICo@@PAJPBG@Z
0000B06C 0000B08D ??_ECCoOutputPin@@UAEPAXI@Z
0000B092 0000B0A9 ??1CBasePropertyPage@@UAE@XZ
0000B0AE 0000B0E7 ??0CPropPage@@QAE@PAGPAUIUnknown@@PAJ@Z
0000B0EC 0000B0EF ?SizeMax@CPersistStream@@UAEHXZ
0000B0F4 0000B108 ?IsPageDirty@CBasePropertyPage@@UAGJXZ
0000B10D 0000B115 ?get_PFramesPerKeyFrame@CCapStream@@UAGJPAJ@Z
0000B11A 0000B14B ?CreateInstance@CPropPage@@SGPAVCUnknown@@PAUIUnknown@@PAJ@Z
0000B150 0000B1D4 ?OnConnect@CPropPage@@UAEJPAUIUnknown@@@Z
0000B1D9 0000B204 ?OnDisconnect@CPropPage@@UAEJXZ
0000B209 0000B44C ?OnReceiveMessage@CPropPage@@UAEHPAUHWND__@@IIJ@Z
0000B451 0000B459 ??_ECAviMuxProp@@W3AEPAXI@Z
0000B45E 0000B47F ??_GCAviMuxProp@@UAEPAXI@Z
0000B484 0000B4C4 ?SetSyncSource@CBaseStreamControl@@QAEXPAUIReferenceClock@@@Z
0000B4C9 0000B5A5 ?NonDelegatingQueryInterface@CVfwCapture@@UAGJABU_GUID@@PAPAX@Z
0000B5AA 0000B5E3 ?GetPages@CSpecifyProp@CVfwCapture@@UAGJPAUtagCAUUID@@@Z
0000B5E8 0000B60C ?GetPinCount@CVfwCapture@@UAEHXZ
0000B611 0000B644 ?GetPin@CVfwCapture@@UAEPAVCBasePin@@H@Z
0000B649 0000B732 ?Run@CVfwCapture@@UAGJ_J@Z
0000B737 0000B840 ?Pause@CVfwCapture@@UAGJXZ
0000B845 0000B8B5 ?Stop@CVfwCapture@@UAGJXZ
0000B8BA 0000B901 ?SetSyncSource@CVfwCapture@@UAGJPAUIReferenceClock@@@Z
0000B906 0000B91E ?InitNew@CVfwCapture@@UAGJXZ
0000B923 0000B949 ?GetClassID@CVfwCapture@@UAGJPAU_GUID@@@Z
0000B94E 0000B993 ?WriteToStream@CVfwCapture@@UAEJPAUIStream@@@Z
0000B998 0000BA49 ?ReadFromStream@CVfwCapture@@UAEJPAUIStream@@@Z
0000BA4E 0000BA85 ?SizeMax@CVfwCapture@@UAEHXZ
0000BA8A 0000BAB2 ?VfwCapSetOptions@COptions@CVfwCapture@@UAGJPBU_vfwcaptureoptions@@@Z
0000BAB7 0000BADF ?VfwCapGetOptions@COptions@CVfwCapture@@UAGJPAU_vfwcaptureoptions@@@Z
0000BAE4 0000BB25 ?VfwCapGetCaptureStats@COptions@CVfwCapture@@UAGJPAU_capturestats@@@Z
0000BB2A 0000BB58 ?VfwCapDriverDialog@COptions@CVfwCapture@@UAGJPAUHWND__@@II@Z
0000BB5D 0000BBBB ?HasDialog@CVfwCapture@@UAGJH@Z
0000BBC0 0000BCAC ?ShowDialog@CVfwCapture@@UAGJHPAUHWND__@@@Z
0000BCB1 0000BD09 ?SendDriverMessage@CVfwCapture@@UAGJHHJJ@Z
0000BD0E 0000BD7F ?CreatePins@CVfwCapture@@AAEXPAJ@Z
0000BD84 0000BDB5 ??0CSpecifyProp@CVfwCapture@@QAE@PAV1@PAJ@Z
0000BDBA 0000BDEB ??0COptions@CVfwCapture@@QAE@PAV1@PAJ@Z
0000BDF0 0000BE1A ??_ECSpecifyProp@CVfwCapture@@UAEPAXI@Z
0000BE1F 0000BEFE ??1CVfwCapture@@UAE@XZ
0000BF03 0000BF0D ?GetClassID@CVfwCapture@@WEE@AGJPAU_GUID@@@Z
0000BF12 0000BF1C ?GetClassID@CVfwCapture@@WEM@AGJPAU_GUID@@@Z
0000BF21 0000BF2B ?QueryInterface@CVfwCapture@@WFI@AGJABU_GUID@@PAPAX@Z
