0000CFF1 0000D0A2 ?SockProcessAsyncGetProto@@YGXPAXKPAUHWND__@@IPAD2H@Z
0000D0A7 0000D15C ?SockProcessAsyncGetServ@@YGXPAXKPAUHWND__@@IPAD22H@Z
0000D161 0000D293 ?SockAsyncThread@@YGKPAU_SOCK_ASYNC_THREAD_PARAMS@@@Z
0000D298 0000D3E0 ?SockCheckAndInitAsyncThread@@YGHXZ
0000D3E5 0000D405 ?WSAttemptAutodialAddr@@YGHPBUsockaddr@@H@Z
0000D40A 0000D454 _WSACancelBlockingCall@0
0000D459 0000D4A7 _WSAIsBlocking@0
0000D4AC 0000D503 _WSASetBlockingHook@4
0000D508 0000D54B _WSAUnhookBlockingHook@0
0000D550 0000D56D ??8@YGHABU_GUID@@0@Z
0000D572 0000D58E ?AppendCatalogItem@DCATALOG@@QAEXPAVPROTO_CATALOG_ITEM@@@Z
0000D593 0000D599 ?GetCurrentCatalogName@DCATALOG@@SGPADXZ
0000D59E 0000D5BF ??_GDPROVIDER@@AAEPAXI@Z
0000D5C4 0000D6A8 ?WriteToRegistry@DCATALOG@@QAEHXZ
0000D6AD 0000D6DC ?AllocateCatalogEntryId@DCATALOG@@QAEKXZ
0000D6E1 0000D7B6 ?PruneIteratorProc@DCATALOG@@CGHPAXPAVPROTO_CATALOG_ITEM@@@Z
0000D7BB 0000D7E5 ?PruneEntryId@DCATALOG@@QAEHK@Z
0000D7EA 0000D830 ?InitializeFromValues@PROTO_CATALOG_ITEM@@QAEHPADPAU_WSAPROTOCOL_INFOW@@@Z
0000D835 0000D8BB ?WriteToRegistry@PROTO_CATALOG_ITEM@@QAEHPAUHKEY__@@H@Z
0000D8C0 0000D8FA ?DSocketDetach@DPROCESS@@QAEHPAU_WSHANDLE_CONTEXT@@@Z
0000D8FF 0000D944 ?OpenHandleHelperDevice@DPROCESS@@AAEHPAPAX@Z
0000D949 0000D95D ?DeleteSockets@@YGHPAXPAU_WSHANDLE_CONTEXT@@@Z
0000D962 0000D98C ?WSPCleanup@DPROVIDER@@QAEHPAH@Z
0000D991 0000D9B5 ??1DPROVIDER@@AAE@XZ
