00018EA9 00018F98 ?DevCapMultiSz@@YGHPAGPAUIADs@@GK0@Z
00018FA9 00019587 ?PrintQueueExists@@YGKPAX0PAGK1PAPAG@Z
00019631 00019679 ?PackString2Variant@@YGJPBGPAUtagVARIANT@@@Z
0001967E 000196C6 ?UnpackStringfromVariant@@YGJUtagVARIANT@@PAPAG@Z
000196CB 000196EF ?PackDWORD2Variant@@YGJKPAUtagVARIANT@@@Z
000196F4 00019710 ?PackBOOL2Variant@@YGJHPAUtagVARIANT@@@Z
00019715 0001973A ?PackVARIANTinVariant@@YGJUtagVARIANT@@PAU1@@Z
0001973F 00019868 ?MakeVariantFromStringArray@@YGJPAPAGPAUtagVARIANT@@@Z
0001986D 000198DC ?put_BSTR_Property@@YGJPAUIADs@@PAG1@Z
000198E1 0001991F ?put_DWORD_Property@@YGJPAUIADs@@PAGPAK@Z
00019924 00019A35 ?put_MULTISZ_Property@@YGJPAUIADs@@PAG1@Z
00019A3A 00019A89 ?put_BOOL_Property@@YGJPAUIADs@@PAGPAH@Z
00019A8E 00019AD0 ?get_BSTR_Property@@YGJPAUIADs@@PAGPAPAG@Z
00019AD5 00019B5E ?SetMandatoryProperties@@YGJPAG000KPAUIADs@@@Z
00019BDF 00019C65 ?PublishDsData@@YGJPAUIADs@@PAGKPAE@Z
00019C6A 00019E5C ?SetSpoolerProperties@@YGJPAXPAUIADs@@K@Z
0001A019 0001A651 ?SetDriverProperties@@YGJPAXPAUIADs@@@Z
0001A995 0001A9D8 ?SetProperties@@YGJPAXPAG111KPAUIADs@@@Z
0001A9DD 0001AB60 ?PublishDownlevelPrinter@@YGKPAXPAG11111KPAPAG@Z
0001AB65 0001AED8 _PublishPrinterW@24
0001AF27 0001AF2D ??0TPrinterPersist@@QAE@XZ
0001AF32 0001AF53 ??_GTPrnStream@@QAEPAXI@Z
0001AF58 0001AFB0 ?BindPrinterAndFile@TPrinterPersist@@QAEJPBG0@Z
0001AFB5 0001AFC5 ?UnBindPrinterAndFile@TPrinterPersist@@QAEJXZ
0001AFCA 0001AFF2 ?bGetPrinterAndFile@TPrinterPersist@@QAEHAAPBG0@Z
0001AFF7 0001B016 ?Read@TPrinterPersist@@QAEJPAXKPAK@Z
0001B01B 0001B03A ?Write@TPrinterPersist@@QAEJPBXKPAK@Z
0001B03F 0001B06B ?Seek@TPrinterPersist@@QAEJT_LARGE_INTEGER@@KPAT_ULARGE_INTEGER@@@Z
0001B070 0001B08A ?StorePrinterInfo@TPrinterPersist@@QAEJKAAK@Z
0001B08F 0001B0C6 ?RestorePrinterInfo@TPrinterPersist@@QAEJKAAK@Z
0001B0CB 0001B0E5 ?QueryPrinterInfo@TPrinterPersist@@QAEJW4_PrinterPersistentQueryFlag@@PAT_PersistentInfo@@@Z
0001B0EA 0001B0F8 ??1TPrinterPersist@@QAE@XZ
0001B0FD 0001B11E ??_GTPrinterPersist@@QAEPAXI@Z
0001B123 0001B28C ?SafeRestorePrinterInfo@TPrinterPersist@@QAEJK@Z
0001B29F 0001B2FE ??0TPrnStream@@QAE@PBG0@Z
0001B303 0001B324 ??_GTStream@@QAEPAXI@Z
0001B329 0001B34A ??_GTLibrary@@QAEPAXI@Z
0001B34F 0001B37C ?UnBindPrnStream@TPrnStream@@QAEJXZ
0001B381 0001B394 ?PortNameCase@TPrnStream@@AAEXK@Z
0001B399 0001B3B8 ?ShareNameCase@TPrnStream@@AAEXK@Z
0001B3BD 0001B4A5 ?DeleteColorProfiles@TPrnStream@@QAEHXZ
0001B4AA 0001B51A ?MarshallUpItem@TPrnStream@@AAEJAAPAUPrnBinInfo@1@@Z
