0001E92F 0001E9B4 ?SwSearchFpoData@@YGPAU_FPO_DATA@@KPAU1@K@Z
0001E9B9 0001EB22 ?DoSymbolCallback@@YGHPAU_PROCESS_ENTRY@@KPAU_MODULE_ENTRY@@PAU_IMAGEHLP_DEFERRED_SYMBOL_LOAD64@@PAD@Z
0001EB27 0001EBDA ?DoCallback@@YGHPAU_PROCESS_ENTRY@@KPAX@Z
0001EBDF 0001EC29 ?evtprint@@YAHPAU_PROCESS_ENTRY@@KKPAXPADZZ
0001EC2E 0001EC9C ?traceSubName@@YGHPAD@Z
0001ECA1 0001ECE0 ?FindProcessEntry@@YGPAU_PROCESS_ENTRY@@PAX@Z
0001ECE5 0001EDAB ?GetModuleForPC@@YGPAU_MODULE_ENTRY@@PAU_PROCESS_ENTRY@@_KH@Z
0001EDB0 0001EE0D ?ComputeHash@@YGKPADK@Z
0001EE12 0001EEB8 ?AllocSym@@YGPAU_SYMBOL_ENTRY@@PAU_MODULE_ENTRY@@_KPAD@Z
0001EEBD 0001EEF8 ?SymbolTableAddressCompare@@YAHPBX0@Z
0001EEFD 0001EF39 ?SymbolTableNameCompare@@YAHPBX0@Z
0001EF3E 0001F0E2 ?CompleteSymbolTable@@YGXPAU_MODULE_ENTRY@@@Z
0001F0E7 0001F155 ?CreateSymbolTable@@YGHPAU_MODULE_ENTRY@@KW4SYM_TYPE@@K@Z
0001F15A 0001F198 ?FindSection@@YGPAU_IMAGE_SECTION_HEADER@@PAU1@KK@Z
0001F19D 0001F1DF ?expptr@@YGPADPAX_KPAU_IMGHLP_DEBUG_DATA@@K@Z
