0000CAD4 0000CB0F ??0?$CComContainedObject@VCNetSharingManager@@@ATL@@QAE@PAX@Z
0000CB14 0000CB29 ?AddRef@?$CComContainedObject@VCUPnPNAT@@@ATL@@UAGKXZ
0000CB2E 0000CB43 ?Release@?$CComContainedObject@VCNetSharingManager@@@ATL@@UAGKXZ
0000CB48 0000CB7E ?QueryInterface@?$CComContainedObject@VCNetSharingManager@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000CB83 0000CB8D ?Release@?$CComObject@VCHNetCfgMgr@@@ATL@@W3AGKXZ
0000CB92 0000CB9C ?Release@?$CComObject@VCHNetCfgMgr@@@ATL@@W7AGKXZ
0000CBA1 0000CBAB ?Release@?$CComObject@VCHNetCfgMgr@@@ATL@@WM@AGKXZ
0000CBB0 0000CBBA ?Release@?$CComObject@VCHNetCfgMgr@@@ATL@@WBA@AGKXZ
0000CBBF 0000CCE3 ?RegisterFromResource@CRegObject@ATL@2@IAEJPBG00H@Z
0000CCE8 0000CD06 ?ResourceRegister@CRegObject@ATL@2@QAGJPBGI0@Z
0000CD0B 0000CD29 ?ResourceUnregister@CRegObject@ATL@2@QAGJPBGI0@Z
0000CD2E 0000CE43 ?UpdateRegistryFromResourceS@CComModule@ATL@@QAGJIHPAU_ATL_REGMAP_ENTRY@2@@Z
0000CE48 0000CE62 ?UpdateRegistry@CHNetCfgMgr@@SGJH@Z
0000CE67 0000CE81 ?UpdateRegistry@CNetSharingManager@@SGJH@Z
0000CE86 0000CEA0 ?UpdateRegistry@CUPnPNAT@@SGJH@Z
0000CEA5 0000CEC9 ?GetTypeInfo@?$IDispatchImpl@UINetSharingManager@@$1?IID_INetSharingManager@@3U_GUID@@B$1?LIBID_NETCONLib@@3U3@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJIKPAPAUITypeInfo@@@Z
0000CECE 0000CF03 ?GetTI@CComTypeInfoHolder@ATL@@QAEJKPAPAUITypeInfo@@@Z
0000CF08 0000D02E ?GetTI@CComTypeInfoHolder@ATL@@QAEJK@Z
0000D033 0000D060 ?AtlComPtrAssign@ATL@@YGPAUIUnknown@@PAPAU2@PAU2@@Z
0000D065 0000D0BF ?AtlModuleAddTermFunc@ATL@@YGJPAU_ATL_MODULE_30@1@P6GXK@ZK@Z
0000D0C4 0000D1F3 ?LoadNameCache@CComTypeInfoHolder@ATL@@QAEJPAUITypeInfo@@@Z
0000D1F8 0000D21B ??0stringdispid@CComTypeInfoHolder@ATL@@QAE@XZ
0000D220 0000D251 ?Cleanup@CComTypeInfoHolder@ATL@@SGXK@Z
0000D256 0000D278 ?GetIDsOfNames@?$IDispatchImpl@UINetSharingManager@@$1?IID_INetSharingManager@@3U_GUID@@B$1?LIBID_NETCONLib@@3U3@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJABU_GUID@@PAPAGIKPAJ@Z
0000D27D 0000D36B ?GetIDsOfNames@CComTypeInfoHolder@ATL@@QAEJABU_GUID@@PAPAGIKPAJ@Z
0000D370 0000D3B7 ?Invoke@?$IDispatchImpl@UINetSharingManager@@$1?IID_INetSharingManager@@3U_GUID@@B$1?LIBID_NETCONLib@@3U3@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
0000D3BC 0000D3E0 ?GetTypeInfo@?$IDispatchImpl@UIUPnPNAT@@$1?IID_IUPnPNAT@@3U_GUID@@B$1?LIBID_NATUPNPLib@@3U3@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJIKPAPAUITypeInfo@@@Z
0000D3E5 0000D407 ?GetIDsOfNames@?$IDispatchImpl@UIUPnPNAT@@$1?IID_IUPnPNAT@@3U_GUID@@B$1?LIBID_NATUPNPLib@@3U3@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJABU_GUID@@PAPAGIKPAJ@Z
0000D40C 0000D453 ?Invoke@?$IDispatchImpl@UIUPnPNAT@@$1?IID_IUPnPNAT@@3U_GUID@@B$1?LIBID_NATUPNPLib@@3U3@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
0000D458 0000D472 ?UpdateRegistry@FwMgr@@SGJH@Z
0000D477 0000D4E5 _DllRegisterServer@0
0000D4EA 0000D51A _DllUnregisterServer@0
0000D51F 0000D543 ?GetTypeInfo@?$IDispatchImpl@UINetFwAuthorizedApplication@@$1?_GUID_b5e64ffa_c2c5_444e_a301_fb5e00018050@@3U__s_GUID@@B$1?LIBID_NetFwTypeLib@@3U_GUID@@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJIKPAPAUITypeInfo@@@Z
