0001F373 0001F3C2 ?GetFSMPutOutRec@@YGKPAUPUTOUTINFO_Structtag@@G@Z
0001F3C7 0001F3E1 ?InitMainTable@@YGXPAPAGKPAG@Z
0001F3E6 0001F412 ?InitPageTable@@YGXPAGKG@Z
0001F417 0001F446 ?IsArabicOldTTFFont@@YGIPAUFACE_CACHE@@@Z
0001F44B 0001F467 ?IsArabicBitmapFont@@YGJPAUFACE_CACHE@@@Z
0001F46C 0001F4B3 ?LpkGetGlyphIndices@@YGHPAUFACE_CACHE@@PAGK1@Z
0001F4B8 0001F4D0 ?SwapWord@@YGGG@Z
0001F4D5 0001F50D ?LoadArabicCmap@@YGJPAUHDC__@@PAUFACE_CACHE@@GGPAG@Z
0001F512 0001F636 ?MergeLigRecords@@YGHPAULigatureSubst@@0@Z
0001F63B 0001F661 ?GetPutOutInfoSize@@YGKPAUARABIC_SHAPEStructtag@@@Z
0001F666 0001F714 ?AddToPutOutList@@YGGPAUARABIC_SHAPEStructtag@@PAGKKPAEH@Z
0001F719 0001F90F ?ConvertGlyphsToUnicode@@YGHPAUARABIC_SHAPEStructtag@@PAGK11PAKPAHK@Z
0001F914 0001FAAA ?CreateStaticDCL@@YGHPAT_DCL_Structtag@@@Z
0001FAAF 00020ABF ?BuildDynamicStatesStaticInputs@@YGHPAUARABIC_SHAPEStructtag@@U_INDEX2LIGINFO@@@Z
00020AC4 00021271 ?BuildDynamicLigInfoIntoFSM@@YGHPAUARABIC_SHAPEStructtag@@PAU_INDEX2LIGINFO@@@Z
00021276 0002145A ?FixupLamAlefInArabicFSM@@YGXPAUARABIC_SHAPEStructtag@@PAG1K11@Z
0002145F 0002155B ?CreateIndexTable@@YGPAXPAGK@Z
00021560 00021685 ?GetArabicFSMSize@@YGHPAUARABIC_SHAPEStructtag@@PAU_INDEX2LIGINFO@@PAULigatureSubst@@PAGPAH@Z
0002168A 00021713 ?CreateIsStartOfRuleTable@@YGHPAUARABIC_SHAPEStructtag@@@Z
00021718 00021975 ?LoadTTOArabicShapeTables@@YGJPAUHDC__@@PAUARABIC_SHAPEStructtag@@@Z
0002197A 00021B34 ?BuildFSM@@YGJPAUARABIC_SHAPEStructtag@@@Z
00021B39 00021D01 ?HandleArabicBitmapFont@@YGJPAUHDC__@@PAPAUARABIC_SHAPEStructtag@@PAUFACE_CACHE@@@Z
00021D06 00022407 ?HandleOldArabicTTFFont@@YGJPAUHDC__@@PAUFACE_CACHE@@PAPAUARABIC_SHAPEStructtag@@@Z
0002240C 000224DA ?LoadArabicShapeTables@@YGJPAUHDC__@@PAUFACE_CACHE@@PAPAUARABIC_SHAPEStructtag@@@Z
000224DF 00022512 ?FCanUseWithSyriacAbrevChar@@YGHG@Z
00022517 00022556 ?GetArabicCharClass@@YGEG@Z
0002255B 000225C3 ?GetInitialArabicShape@@YGXPAUtag_ArabicShapeInfo@@EEPAEPAH@Z
000225C8 0002260C ?SetArabicFeature@@YGHPAUotlFeatureDesc@@EIH@Z
00022611 00022666 ?GetArabicJustification@@YGEGE@Z
0002266B 000226A5 ?InsertInvalidBase@@YGXPAGGPAUtag_ArabicShapeInfo@@G@Z
000226AA 000226E4 ?InsertSAMChar@@YGXPAGGPAUtag_ArabicShapeInfo@@G@Z
000226E9 00022C75 ?ShapeArabicText@@YGXPAGGGPBUtag_SCRIPT_ANALYSIS@@PAUtag_ArabicShapeInfo@@0@Z
00022C7A 00022CD8 ?GetArabicLangDescriptor@@YGJHPAPBULangDescriptor@@@Z
00022CDD 00022D16 ?ArabicSimpleLoadTbl@@YGJPAUHDC__@@PAUFACE_CACHE@@H@Z
00022D1B 00022D67 ?ArabicFreeTbl@@YGJPAUFACE_CACHE@@H@Z
00022D6C 00026930 ?ArabicShape@@YGJPAUHDC__@@PAPAXPBGHHPAUtag_SCRIPT_ANALYSIS@@PAG4PAUtag_SCRIPT_VISATTR@@PAH@Z
000269B7 000269F0 ?IsLowSurrogate@DoubleWideCharMappedString@@QBEHH@Z
000269F5 00026B58 ?JustifyArabicStringWithKashida@@YGJPAGPBH1HHKKPAPAEPAPAGPAPAHPAH@Z
00026B5D 00026DA2 ?OtlJustifyWithKashida@@YGJPBGHPBH1PBUtagGOFFSET@@KKHHPAPAEPAPAGPAPAHPAHPAPAU1@@Z
00026DA7 00026E95 ?ArabicTextOut@@YGJPAUHDC__@@PAPAXHHIPBUtagRECT@@PBUtag_SCRIPT_ANALYSIS@@PBGHPBH5PBUtagGOFFSET@@@Z
00026E9A 00027703 ?ArabicOtlTextOut@@YGJPAUHDC__@@PAPAXHHIPBUtagRECT@@PBUtag_SCRIPT_ANALYSIS@@PBGHPBH5PBUtagGOFFSET@@@Z
00027708 0002775D ?SetSize@?$AutoBuffer@E$0BMA@@@QAEXH@Z
00027762 0002777E ?initialized@?$AutoBuffer@E$0BMA@@@AAEHXZ
00027783 000277D8 ?SetSize@?$AutoBuffer@E$0OA@@@QAEXH@Z
000277DD 000277F9 ?initialized@?$AutoBuffer@E$0OA@@@AAEHXZ
000277FE 00027853 ?SetSize@?$AutoBuffer@UotlFeatureDesc@@$03@@QAEXH@Z
00027858 00027872 ?initialized@?$AutoBuffer@UotlFeatureDesc@@$03@@AAEHXZ
00027877 000278CB ?SetSize@?$AutoBuffer@Utag_ArabicShapeInfo@@$0BA@@@QAEXH@Z
000278D0 0002797A ?ArabicLoadTbl@@YGJPAUHDC__@@PAUFACE_CACHE@@H@Z
0002797F 0002798E ?ReallocOtlList@ClientData@@UAEJPAVotlList@@GGW4otlReallocOptions@@@Z
00027993 000279A4 ?GetGlyphPointCoords@ClientData@@UAEJGPAPAUotlPlacement@@@Z
000279A9 000279AE ?IndicFreeTbl@@YGJPAUFACE_CACHE@@H@Z
000279B3 000279DC ??0?$AutoBuffer@E$0BMA@@@QAE@H@Z
000279E1 00027A0A ??0?$AutoBuffer@E$0OA@@@QAE@H@Z
