0001A9EA 0001AA40 _LoadWINMM@0
0001AA45 0001AB2A _timeKillEvent@4
0001AB2F 0001AB9D _InitializeWaitEventArrays@12
0001ABA2 0001AC51 _timeSetTimerEvent@4
0001AC56 0001AD05 _timeThreadSetEvent@4
0001AD0A 0001AE66 _TimerCompletion@4
0001AE6B 0001AEAA _timeGetSystemTime@8
0001AEAF 0001AF04 _timeThread@4
0001AF09 0001AFAB _TimeInitThread@0
0001AFB0 0001B08B _timeSetEventInternal@24
0001B090 0001B0BC _timeSetEvent@20
0001B0C1 0001B0F8 _mmTaskBlock@4
0001B0FD 0001B118 _mmTaskSignal@4
0001B11D 0001B123 _mmGetCurrentTask@0
0001B128 0001B163 _mmStartTask@4
0001B168 0001B201 _mmTaskCreate@12
0001B206 0001B270 _Iwcstombs@12
0001B275 0001B298 _Imbstowcs@12
0001B29D 0001B2D8 _winmmAlloc@4
0001B2DD 0001B35C _winmmReAlloc@8
0001B361 0001B3EC _IsPersonalTerminalServicesEnabled@0
0001B3F1 0001B446 _IsTsConsoleAudio@0
0001B489 0001B4F4 _WinmmRunningInWOW@0
0001B539 0001B688 _WOWAppExit@4
0001B6B3 0001B6B9 _mmsystemGetVersion@0
0001B6BE 0001B757 _CleanUpHandles@8
0001B75C 0001B777 _WinmmLogoff@0
0001B77C 0001B77E winmmDbgOut
0001B77E 0001B77F _mmTaskYield@0
0001B784 0001B9AD _waveOutGetDevCapsA@12
0001B9B2 0001BA3A _waveOutGetVolume@8
0001BA3F 0001BAB4 _waveOutSetVolume@8
0001BAB9 0001BAFD _waveGetErrorTextW@12
0001BB02 0001BB45 _waveGetErrorTextA@12
0001BB4A 0001BB72 _waveInGetErrorTextA@12
0001BB77 0001BBB0 _waveOutPause@4
0001BBB5 0001BBEE _waveOutRestart@4
0001BBF3 0001BC3D _waveOutReset@4
0001BC42 0001BC7B _waveOutBreakLoop@4
0001BC80 0001BCCE _waveOutGetPosition@12
0001BCD3 0001BD1F _waveOutGetPitch@8
0001BD24 0001BD5E _waveOutSetPitch@8
0001BD63 0001BDAF _waveOutGetPlaybackRate@8
0001BDB4 0001BDEE _waveOutSetPlaybackRate@8
0001BDF3 0001BE82 _waveOutDesertHandle@4
0001BE87 0001C09C _waveInGetDevCapsA@12
0001C0A1 0001C0D8 _waveOutGetErrorTextW@12
0001C0DD 0001C187 _waveInClose@4
0001C18C 0001C1FE _waveInPrepareHeader@12
0001C203 0001C28C _waveInUnprepareHeader@12
0001C291 0001C2F5 _waveInAddBuffer@12
0001C2FA 0001C333 _waveInStart@4
0001C338 0001C371 _waveInStop@4
0001C376 0001C3C0 _waveInReset@4
0001C3C5 0001C413 _waveInGetPosition@12
0001C418 0001C4A7 _waveInDesertHandle@4
0001C4AC 0001C4F4 _waveInGetID@8
0001C4F9 0001C541 _waveOutGetID@8
0001C546 0001C573 _clockInit@16
0001C578 0001C5FF _clockPause@8
0001C604 0001C657 _clockRestart@12
0001C65C 0001C6A4 _clockTime@4
0001C6A9 0001C6CA _clockMsTime@4
0001C6CF 0001C71E _clockOffsetTo@8
0001C723 0001C798 _clockSetRate@16
0001C79D 0001C7C5 _PDEVLOCK@4
0001C7CA 0001C7F2 _PDEVUNLOCK@4
0001C7F7 0001C82D _mseIDtoHMidi@8
0001C832 0001C982 _mseGetPosition@8
0001C987 0001C9D4 _mseGetVolume@8
0001C9D9 0001CA1F _mseSetVolume@8
0001CA24 0001CA85 _midiOutSetClockRate@8
0001CA8A 0001CAC2 _midiOutScheduleNextEvent@4
0001CAC7 0001CB10 _midiOutDequeueAndCallback@4
0001CB15 0001CB9D _midiOutNukePMBuffer@8
0001CBA2 0001CBCB _midiOutCallback@20
0001CBD0 0001CCB5 _midiOutAllNotesOff@4
0001CCBA 0001CCFE _mseOutCachePatches@16
0001CD03 0001CD47 _mseOutCacheDrumPatches@16
0001CD4C 0001CD98 _mseOutBroadcast@16
0001CD9D 0001CDA5 _mseTimebase@4
0001CDAA 0001CF44 _mseOpen@12
0001CF49 0001CFFD _mseProperty@12
0001D002 0001D033 _mseOutPause@4
0001D038 0001D291 _midiOutPlayNextPolyEvent@4
0001D296 0001D388 _midiOutTimerTick@20
0001D38D 0001D4AC _mseOutReset@4
0001D4C1 0001D5B8 _mseOutStop@4
0001D5C9 0001D609 _mseOutRestart@12
0001D60E 0001D88A _mseOutSend@12
0001D88F 0001D950 _mseClose@4
0001D955 0001DA97 _mseMessage@16
0001DAE8 0001DB12 _RegSetSzValue@12
0001DB17 0001DB36 _RegSetDwordValue@12
0001DB3B 0001DB9D _GetCurrentSetupPreferredAudioCount@0
0001DCBB 0001DD84 _waveWritePersistentConsoleVoiceCom@12
0001DE11 0001DECC _waveOutWritePersistentPref@8
0001DF58 0001DFC9 _waveOutSetPersistentPreferredId@8
0001E022 0001E095 _waveOutSetPersistentConsoleVoiceComId@8
0001E0F9 0001E1B4 _waveInWritePersistentPref@8
0001E240 0001E2B1 _waveInSetPersistentPreferredId@8
0001E308 0001E37A _waveInSetPersistentConsoleVoiceComId@8
0001E3E0 0001E54A _midiOutWritePersistentPref@8
0001E54F 0001E5C8 _midiOutGetIdFromName@8
