0000D317 0000D321 ?HandsOffStorage@COleObject@@QAEXXZ
0000D326 0000D350 ?SaveCompleted@COleObject@@QAEXPAUIStorage@@@Z
0000D3DE 0000D447 ?OnReposition@COleObject@@QAEXJJ@Z
0000D44C 0000D519 ?ResetPosRect@COleObject@@QAEXPAJ@Z
0000D51E 0000D62A ?SetExtent@COleObject@@AAEJH@Z
0000D62F 0000D711 ?SafeSaveObject@COleObject@@UAGJXZ
0000D716 0000D79E ?OnShowWindow@COleObject@@UAGJH@Z
0000D7A3 0000D847 ?ContextSensitiveHelp@COleObject@@UAGJH@Z
0000D84C 0000D90F ?OnUIActivate@COleObject@@UAGJXZ
0000D914 0000D9CC ?GetWindowContext@COleObject@@UAGJPAPAUIOleInPlaceFrame@@PAPAUIOleInPlaceUIWindow@@PAUtagRECT@@2PAUtagOIFI@@@Z
0000D9D1 0000DA66 ?OnInPlaceDeactivate@COleObject@@UAGJXZ
0000DA6B 0000DABA ?DeactivateAndUndo@COleObject@@UAGJXZ
0000DABF 0000DBCE ?OnPosRectChange@COleObject@@UAGJPBUtagRECT@@@Z
0000DBD3 0000DC7E ?OnViewChange@COleObject@@UAGXKJ@Z
0000DC83 0000DEA8 ?InitFromREOBJECT@COleObject@@QAEJJPAU_reobject@@@Z
0000DEED 0000E123 ?DrawObj@COleObject@@QAEXPBVCDisplay@@JJPAUHDC__@@HPAUtagPOINT@@PAUtagRECT@@JJ@Z
0000E128 0000E15C ??1COleObject@@EAE@XZ
0000E161 0000E16B ?QueryInterface@COleObject@@W3AGJABU_GUID@@PAPAX@Z
0000E170 0000E17A ?AddRef@COleObject@@W3AGKXZ
0000E17F 0000E189 ?Release@COleObject@@W3AGKXZ
0000E18E 0000E198 ?QueryInterface@COleObject@@W7AGJABU_GUID@@PAPAX@Z
0000E19D 0000E1A7 ?AddRef@COleObject@@W7AGKXZ
0000E1AC 0000E1B6 ?Release@COleObject@@W7AGKXZ
0000E1BB 0000E1C3 ??_ECOleObject@@GM@AEPAXI@Z
0000E1C8 0000E1DB ?MakeZombie@COleObject@@QAEXXZ
0000E1E0 0000E30D ?ActivateObj@COleObject@@QAEHIIJ@Z
