00003D49 00003D6A ?NonDelegatingAddRef@CDDSurface@@UAGKXZ
00003D6F 00003D87 ?IDirectDrawSurfaceAggAddRef@@YGKPAUIDirectDrawSurface@@@Z
00003D8C 00003DA4 ?IDirectDrawSurface4AggRelease@@YGKPAUIDirectDrawSurface4@@@Z
00003DA9 00003DC9 ?IDirectDrawSurfaceAggLock@@YGJPAUIDirectDrawSurface@@PAUtagRECT@@PAU_DDSURFACEDESC@@KPAX@Z
00003DCE 00003DFD ?IDirectDrawSurfaceAggFlip@@YGJPAUIDirectDrawSurface@@0K@Z
00003E02 00003E3D ?IDirectDrawSurfaceAggBlt@@YGJPAUIDirectDrawSurface@@PAUtagRECT@@01KPAU_DDBLTFX@@@Z
00003E42 00003E5B ?IDirectDrawSurfaceAggGetPalette@@YGJPAUIDirectDrawSurface@@PAPAUIDirectDrawPalette@@@Z
00003E60 00003E79 ?IDirectDrawSurfaceAggSetPalette@@YGJPAUIDirectDrawSurface@@PAUIDirectDrawPalette@@@Z
00003E7E 00003EF6 ?IDirectDrawSurfaceAggGetSurfaceDesc@@YGJPAUIDirectDrawSurface@@PAU_DDSURFACEDESC@@@Z
00003EFB 00003F12 ?IDirectDrawSurface3AggGetDC@@YGJPAUIDirectDrawSurface3@@PAPAUHDC__@@@Z
00003F17 00003F2E ?IDirectDrawSurfaceAggUnlock@@YGJPAUIDirectDrawSurface@@PAX@Z
00003F33 00003F4F ?IDirectDrawSurface2AggFlip@@YGJPAUIDirectDrawSurface2@@0K@Z
00003F54 00003F8F ?IDirectDrawSurface2AggBlt@@YGJPAUIDirectDrawSurface2@@PAUtagRECT@@01KPAU_DDBLTFX@@@Z
00003F94 00003FAD ?IDirectDrawSurface2AggGetPalette@@YGJPAUIDirectDrawSurface2@@PAPAUIDirectDrawPalette@@@Z
00003FB2 00003FCB ?IDirectDrawSurface2AggSetPalette@@YGJPAUIDirectDrawSurface2@@PAUIDirectDrawPalette@@@Z
00003FD0 00003FE9 ?IDirectDrawSurface2AggGetSurfaceDesc@@YGJPAUIDirectDrawSurface2@@PAU_DDSURFACEDESC@@@Z
00003FEE 00004008 ?IDirectDrawSurface3AggSetSurfaceDesc@@YGJPAUIDirectDrawSurface3@@PAU_DDSURFACEDESC@@K@Z
0000400D 00004029 ?IDirectDrawSurface3AggFlip@@YGJPAUIDirectDrawSurface3@@0K@Z
