00004CAD 00004CD3 ??1?$CComPolyObject@VCDXTScale@@@ATL@@QAE@XZ
00004CD8 00004D07 ?Release@?$CComPolyObject@VCDXSurface@@@ATL@@UAGKXZ
00004D0C 00004D42 ??0?$CComPolyObject@VCDXSurfaceModifier@@@ATL@@QAE@PAX@Z
00004D47 00004DA7 ?QueryInterface@?$CComPolyObject@VCDXSurfaceModifier@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00004DD1 00004DFE ??1?$CComPolyObject@VCDXSurfaceModifier@@@ATL@@QAE@XZ
00004E03 00004E32 ?Release@?$CComPolyObject@VCDXGradient@@@ATL@@UAGKXZ
00004E37 00004E5A ?Release@?$CComPolyObject@VCDXTFilterBehavior@@@ATL@@UAGKXZ
00004E5F 00004E9E ??0?$CComContainedObject@VCDXTLabel@@@ATL@@QAE@PAX@Z
00004F75 00004F7D ?WorkProc@CDXBaseNTo1@@UAEJABVCDXTWorkInfoNTo1@@PAH@Z
00004F82 00004FAC ?GetMatrix@CDXTLabel@@UAGJPAUDX2DXFORM@@@Z
00004FB1 00004FDB ?SetMatrix@CDXTLabel@@UAGJQAUDX2DXFORM@@@Z
00004FE0 00004FE4 ?GetControllingUnknown@?$CComContainedObject@VCDXSurfaceModifier@@@ATL@@UAEPAUIUnknown@@XZ
00004FE9 00004FF3 ?QueryInterface@?$CComContainedObject@VCDXTScale@@@ATL@@W7AGJABU_GUID@@PAPAX@Z
00004FF8 00005002 ?AddRef@?$CComContainedObject@VCDXTScale@@@ATL@@W7AGKXZ
00005007 00005011 ?Release@?$CComContainedObject@VCDXSurfaceModifier@@@ATL@@W7AGKXZ
00005016 0000503D ??0?$CComContainedObject@VCDXSurface@@@ATL@@QAE@PAX@Z
000050A5 000050BA ?AddRef@?$CComContainedObject@VCDX2D@@@ATL@@UAGKXZ
000050BF 000050C3 ?GetControllingUnknown@?$CComContainedObject@VCDXTransformFactory@@@ATL@@UAEPAUIUnknown@@XZ
000050C8 000050E8 ??0?$CComContainedObject@VCDXRasterizer@@@ATL@@QAE@PAX@Z
00005121 00005136 ?AddRef@?$CComContainedObject@VCDXTFilterFactory@@@ATL@@UAGKXZ
0000513B 0000515A ??0?$CComContainedObject@VCDXTFilterFactory@@@ATL@@QAE@PAX@Z
00005171 00005186 ?Release@?$CComContainedObject@VCDXTFilterFactory@@@ATL@@UAGKXZ
0000518B 000051A5 ?QueryInterface@?$CComContainedObject@VCDXTFilterFactory@@@ATL@@UAGJABU_GUID@@PAPAX@Z
000051AA 000051C8 ??0CDXTFilterCollection@@QAE@XZ
000051CD 00005221 ?CreateInstance@?$CComCreator@V?$CComObjectCached@VCComClassFactory@ATL@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
00005226 00005285 ?CreateInstance@?$CComCreator@V?$CComPolyObject@VCDXGradient@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000528A 000052EA ?CreateInstance@?$CComCreator@V?$CComPolyObject@VCDXTFilterBehavior@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
000052EF 00005310 ??_G?$CComPolyObject@VCDXTScale@@@ATL@@QAEPAXI@Z
00005315 00005336 ??_G?$CComPolyObject@VCDXSurfaceModifier@@@ATL@@QAEPAXI@Z
0000533B 0000536A ?Release@?$CComPolyObject@VCDXTScale@@@ATL@@UAGKXZ
0000536F 000053A5 ??0?$CComPolyObject@VCDXTLabel@@@ATL@@QAE@PAX@Z
000053AA 0000540A ?QueryInterface@?$CComPolyObject@VCDXTLabel@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00005435 00005462 ??1?$CComPolyObject@VCDXTLabel@@@ATL@@QAE@XZ
00005467 0000549D ??0?$CComPolyObject@VCDX2D@@@ATL@@QAE@PAX@Z
000054A2 00005502 ?QueryInterface@?$CComPolyObject@VCDX2D@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000552D 0000555A ??1?$CComPolyObject@VCDX2D@@@ATL@@QAE@XZ
0000555F 00005595 ??0?$CComPolyObject@VCDXSurface@@@ATL@@QAE@PAX@Z
0000559A 000055C9 ?Release@?$CComPolyObject@VCDXSurfaceModifier@@@ATL@@UAGKXZ
000055CE 00005604 ??0?$CComPolyObject@VCDXRasterizer@@@ATL@@QAE@PAX@Z
00005609 00005669 ?QueryInterface@?$CComPolyObject@VCDXRasterizer@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00005689 000056AF ??1?$CComPolyObject@VCDXRasterizer@@@ATL@@QAE@XZ
000056B4 000056EA ??0?$CComPolyObject@VCDXTFilter@@@ATL@@QAE@PAX@Z
000056EF 0000574F ?QueryInterface@?$CComPolyObject@VCDXTFilter@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00005754 0000577A ??1?$CComPolyObject@VCDXTFilter@@@ATL@@QAE@XZ
0000577F 000057A5 ??1?$CComPolyObject@VCDXTFilterCollection@@@ATL@@QAE@XZ
000057AA 000057BC ?AddRef@?$CComPolyObject@VCDXTFilter@@@ATL@@UAGKXZ
000057C1 00005821 ?QueryInterface@?$CComPolyObject@VCDXTFilterCollection@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00005865 0000589B ??0?$CComPolyObject@VCDXTFilterFactory@@@ATL@@QAE@PAX@Z
000058A0 00005900 ?QueryInterface@?$CComPolyObject@VCDXTFilterFactory@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000591D 00005949 ??1?$CComPolyObject@VCDXTFilterFactory@@@ATL@@QAE@XZ
0000594E 0000597F ??1CDXTransformFactory@@QAE@XZ
00005984 000059B8 ??1CDXTaskManager@@QAE@XZ
000059BD 000059EB ??0?$CComContainedObject@VCDXTFilterCollection@@@ATL@@QAE@PAX@Z
00005A81 00005A96 ?AddRef@?$CComContainedObject@VCDXTFilterCollection@@@ATL@@UAGKXZ
00005A9B 00005AB0 ?Release@?$CComContainedObject@VCDXTFilterCollection@@@ATL@@UAGKXZ
00005AB5 00005ACF ?QueryInterface@?$CComContainedObject@VCDXTFilterCollection@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00005AD4 00005AD8 ?GetControllingUnknown@?$CComContainedObject@VCDXTFilterCollection@@@ATL@@UAEPAUIUnknown@@XZ
00005ADD 00005AE7 ?GetTypeInfoCount@CDXTFilterCollection@@W3AGJPAI@Z
00005AEC 00005AF6 ?GetTypeInfo@CDXTFilterCollection@@W3AGJIKPAPAUITypeInfo@@@Z
00005AFB 00005B05 ?GetIDsOfNames@CDXTFilterCollection@@W3AGJABU_GUID@@PAPAGIKPAJ@Z
00005B0A 00005B14 ?Invoke@CDXTFilterCollection@@W3AGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
00005B19 00005B20 ?QueryInterface@?$CComContainedObject@VCDXTFilterCollection@@@ATL@@W3AGJABU_GUID@@PAPAX@Z
00005B25 00005B2F ?AddRef@?$CComContainedObject@VCDXTFilterCollection@@@ATL@@W3AGKXZ
00005B34 00005B3E ?Release@?$CComContainedObject@VCDXTFilterCollection@@@ATL@@W3AGKXZ
00005B43 00005B4D ?QueryInterface@?$CComContainedObject@VCDXTFilterCollection@@@ATL@@W7AGJABU_GUID@@PAPAX@Z
00005B52 00005B5C ?AddRef@?$CComContainedObject@VCDXTFilterCollection@@@ATL@@W7AGKXZ
00005B61 00005B6B ?Release@?$CComContainedObject@VCDXTFilterCollection@@@ATL@@W7AGKXZ
00005B70 00005B8F ??0CDXTransformFactory@@QAE@XZ
00005B94 00005BC1 ??0CDXTaskManager@@QAE@XZ
00005BC6 00005C17 ?CreateInstance@?$CComCreator@V?$CComPolyObject@VCDXTScale@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
00005C1C 00005C7B ?CreateInstance@?$CComCreator@V?$CComPolyObject@VCDXSurface@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
00005C80 00005CDF ?CreateInstance@?$CComCreator@V?$CComPolyObject@VCDXSurfaceModifier@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
00005CE4 00005D05 ??_G?$CComPolyObject@VCDXTLabel@@@ATL@@QAEPAXI@Z
00005D0A 00005D2B ??_G?$CComPolyObject@VCDX2D@@@ATL@@QAEPAXI@Z
00005D30 00005D51 ??_G?$CComPolyObject@VCDXRasterizer@@@ATL@@QAEPAXI@Z
00005D56 00005D77 ??_G?$CComPolyObject@VCDXTFilter@@@ATL@@QAEPAXI@Z
00005D7C 00005D9D ??_G?$CComPolyObject@VCDXTFilterCollection@@@ATL@@QAEPAXI@Z
00005DA2 00005DC3 ??_G?$CComPolyObject@VCDXTFilterFactory@@@ATL@@QAEPAXI@Z
00005DC8 00005DF7 ?Release@?$CComPolyObject@VCDXTLabel@@@ATL@@UAGKXZ
00005DFC 00005E2B ?Release@?$CComPolyObject@VCDX2D@@@ATL@@UAGKXZ
