0000E831 0000E8C5 ?ReportNotification@CINet@@IAEJW4tagBINDSTATUS@@PBD@Z
0000E8CA 0000E8E5 ?ReportProgress@CINetEmbdFilter@@QAGJKPBG@Z
0000E8F3 0000E91A ?HandleState@CInetState@@QAEJXZ
0000E98B 0000EA7B ?CreateFirstProtocol@COInetSession@@QAGJPBGPAUIUnknown@@PAPAU2@PAPAUIInternetProtocol@@PAU_GUID@@PAKK@Z
0000EA80 0000EAC6 ?GetObjectParam@CBindCtx@@UAGJPAGPAPAUIUnknown@@@Z
0000EACB 0000EAE1 ?AddRef@CBSCHolder@@UAGKXZ
0000EAF1 0000EB05 ?IsAsyncBinding@CBinding@@UAGHXZ
0000EB0A 0000EB3B ?GetRequestedObject@CBinding@@UAGJPAUIBindCtx@@PAPAUIUnknown@@@Z
0000EB40 0000EE8D ?Start@CTransaction@@UAGJPBGPAUIInternetProtocolSink@@PAUIInternetBindInfo@@KK@Z
0000EEA3 0000EF1A ?Start@COInetProt@@UAGJPBGPAUIInternetProtocolSink@@PAUIInternetBindInfo@@KK@Z
0000EF1F 0000EFBD ?QueryInterface@CBSCHolder@@UAGJABU_GUID@@PAPAX@Z
0000EFC2 0000EFC9 ?QueryInterface@CTransaction@@WBE@AGJABU_GUID@@PAPAX@Z
0000EFCE 0000F00F ?QueryInterface@CTransaction@@UAGJABU_GUID@@PAPAX@Z
0000F014 0000F084 ?BindToStorage@CUrlMon@@UAGJPAUIBindCtx@@PAUIMoniker@@ABU_GUID@@PAPAX@Z
0000F089 0000F215 ?StartBinding@CUrlMon@@AAGJHPAUIBindCtx@@PAUIMoniker@@ABU_GUID@@PAPAX@Z
0000F21A 0000F56A ?StartBinding@CBinding@@QAEJPBGPAUIBindCtx@@ABU_GUID@@HPAPAGPAPAX@Z
0000F56F 0000F58C ?IsAsyncTransaction@CBinding@@QAEHXZ
0000F591 0000F5F8 ?GetBSCHolder@@YGJPAUIBindCtx@@PAPAVCBSCHolder@@@Z
0000F60D 0000F6EC ?QueryInterface@CBinding@@UAGJABU_GUID@@PAPAX@Z
0000F701 0000F818 ?QueryInterface@CPrivUnknown@CTransaction@@UAGJABU_GUID@@PAPAX@Z
0000F8F9 0000F92B ?QueryService@CBSCHolder@@UAGJABU_GUID@@0PAPAX@Z
0000F930 0000F93A ?Release@CBSCHolder@@W3AGKXZ
0000F93F 0000F98E ??0CBSCHolder@@QAE@XZ
0000F9E6 0000FA0B ?IsRequestedIIDValid@CBinding@@QAEHABU_GUID@@@Z
0000FA3E 0000FA6D ?CallGetBindInfo@CBinding@@UAGJPAKPAU_tagBINDINFO@@@Z
0000FA72 0000FA9E ?CallOnStartBinding@CBinding@@UAGJKPAUIBinding@@@Z
0000FAAB 0000FAB5 ?QueryInterface@CBinding@@W7AGJABU_GUID@@PAPAX@Z
0000FABA 0000FAC4 ?AddRef@CBinding@@W7AGKXZ
0000FAC9 0000FAD3 ?AddRef@CBinding@@WM@AGKXZ
0000FAD8 0000FAE2 ?Release@CBinding@@WBA@AGKXZ
0000FAE7 0000FB33 ?GetTransactionObjects@CBindCtx@@QAGJPAPAVCTransaction@@PAPAVCTransData@@@Z
0000FB38 0000FB69 ?SetTransData@CBindCtx@@QAGJPAVCTransData@@@Z
0000FB6E 0000FBE5 ?Create@CBindCtx@@SGJPAPAV1@PAUIBindCtx@@@Z
0000FBEA 0000FC1F ?GetBindInfo@CTransaction@@UAGJPAKPAU_tagBINDINFO@@@Z
0000FC24 0000FC54 ?QueryService@CTransaction@@UAGJABU_GUID@@0PAPAX@Z
0000FC59 0000FC63 ?Release@COInetProt@@W7AGKXZ
0000FC68 0000FC72 ?Release@COInetProt@@WM@AGKXZ
0000FC8F 0000FCA3 ?SetPriority@COInetProt@@UAGJJ@Z
0000FCA8 0000FCFC ?AddClientOInet@CTransaction@@QAEJPAUIInternetProtocolSink@@PAUIInternetBindInfo@@@Z
0000FD01 0000FD0B ?AddRef@CTransaction@@W7AGKXZ
