00007457 00007492 ?ImmSetCandidateWindow@imm32@@YGHPAUHIMC__@@PAUtagCANDIDATEFORM@@@Z
000074AF 000074EA ?ImmGetCandidateListA@imm32@@YGKPAUHIMC__@@KPAUtagCANDIDATELIST@@K@Z
00007506 00007541 ?ImmGetCandidateListW@imm32@@YGKPAUHIMC__@@KPAUtagCANDIDATELIST@@K@Z
0000755E 00007599 ?ImmGetCandidateListCountA@imm32@@YGKPAUHIMC__@@PAK@Z
000075BB 000075F6 ?ImmGetCandidateListCountW@imm32@@YGKPAUHIMC__@@PAK@Z
00007617 00007652 ?ImmGenerateMessage@imm32@@YGHPAUHIMC__@@@Z
00007657 00007692 ?ImmNotifyIME@imm32@@YGHPAUHIMC__@@KKK@Z
000076A6 000076E1 ?ImmGetGuideLineA@imm32@@YGKPAUHIMC__@@KPADK@Z
000076FA 00007735 ?ImmGetGuideLineW@imm32@@YGKPAUHIMC__@@KPAGK@Z
0000774E 00007789 ?ImmGetImeMenuItemsA@imm32@@YGKPAUHIMC__@@KKPAUtagIMEMENUITEMINFOA@@1K@Z
000077A5 000077E0 ?ImmGetImeMenuItemsW@imm32@@YGKPAUHIMC__@@KKPAUtagIMEMENUITEMINFOW@@1K@Z
000077F9 00007834 ?ImmGetDefaultIMEWnd@imm32@@YGPAUHWND__@@PAU2@@Z
0000784D 0000788D ?ImmGetVirtualKey@imm32@@YGIPAUHWND__@@@Z
000078A6 000078E1 ?ImmIsUIMessageA@imm32@@YGHPAUHWND__@@IIJ@Z
000078F9 00007934 ?ImmIsUIMessageW@imm32@@YGHPAUHWND__@@IIJ@Z
00007949 00007984 ?ImmSimulateHotKey@imm32@@YGHPAUHWND__@@K@Z
0000799B 000079D6 ?ImmGetProperty@imm32@@YGKPAUHKL__@@K@Z
000079EC 00007A27 ?ImmGetDescriptionA@imm32@@YGIPAUHKL__@@PADI@Z
00007A2C 00007A67 ?ImmGetDescriptionW@imm32@@YGIPAUHKL__@@PAGI@Z
00007A80 00007ABB ?ImmGetIMEFileNameA@imm32@@YGIPAUHKL__@@PADI@Z
00007AD4 00007B0F ?ImmGetIMEFileNameW@imm32@@YGIPAUHKL__@@PAGI@Z
00007B28 00007B63 ?ImmGetConversionListA@imm32@@YGKPAUHKL__@@PAUHIMC__@@PBDPAUtagCANDIDATELIST@@KI@Z
00007B7F 00007BBA ?ImmGetConversionListW@imm32@@YGKPAUHKL__@@PAUHIMC__@@PBGPAUtagCANDIDATELIST@@KI@Z
00007BD7 00007C12 ?ImmIsIME@imm32@@YGHPAUHKL__@@@Z
