0003D299 0003D5B5 ?LoadStyleForTextpath@CParserTag@@AAEXPAW4VGXTagNameKeys@@K_NPAUIHTMLStyle@@PAUIHTMLCurrentStyle@@PAPAG@Z
0003D5BA 0003E017 ?LoadStyle@CParserTag@@IAE_NPAW4VGXTagNameKeys@@K_N1@Z
0003E380 0003E44E ?TextBoxAdjust@CParserTag@@AAEXPAUIHTMLStyle@@0PAUCStyleInfo@@@Z
0003E453 0003E898 ?WordFix@CParserTag@@AAEXPAUIHTMLStyle@@PAUCStyleInfo@@@Z
0003E89D 0003E91D ?CleanUpStyle@CParserTag@@AAEXXZ
0003E922 0003E9F8 ?FixWrapblockStyle@@YGXPAUIHTMLStyle@@PAUCStyleInfo@@@Z
0003E9FD 0003EA66 ?SetShapeOverflowHidden@@YGXPAUIHTMLStyle@@PAUIHTMLCurrentStyle@@@Z
0003EA6B 0003EC85 ?AdjustStyle@CParserTag@@AAEXPAUIHTMLStyle@@PAUIHTMLElement2@@PAUCStyleInfo@@@Z
0003EC8A 0003ECCE ?GetRTSInfo@CParserTag@@UAEPAVCRuntimeStyleInfo@@XZ
0003ED55 0003EF2D ?RefreshStyle@CParserTag@@UAEXPAW4VGXTagNameKeys@@PA_NH@Z
0003EF32 0003EF55 ??0?$CComObject@VCPTBehaviorCategory@@@ATL@@QAE@PAX@Z
0003EF5A 0003EF74 ?Load@?$CPTPropBag2@VCSimpleTag@@@@UAGJPAUIPropertyBag2@@PAUIErrorLog@@@Z
0003EF79 0003EF9D ??1?$CComObject@VCSimpleTagPropBag2@@@ATL@@QAE@XZ
0003EFA2 0003EFBF ?QueryInterface@?$CComObject@VCParserTagPropBag2@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0003EFC4 0003EFE8 ??1?$CComObject@VCParserTagPropBag2@@@ATL@@QAE@XZ
0003EFED 0003F010 ?Release@?$CComObject@VCEventHandler@@@ATL@@UAGKXZ
0003F015 0003F227 ?OnPropertyChange@CParserTag@@AAEJPAUIDispatch@@@Z
0003F22C 0003F257 ?Release@?$CComObject@VCSimpleTagPropBag2@@@ATL@@UAGKXZ
0003F25C 0003F287 ?Release@?$CComObject@VCParserTagPropBag2@@@ATL@@UAGKXZ
0003F28C 0003F2AF ??0?$CComObject@VCEventHandler@@@ATL@@QAE@PAX@Z
0003F2B4 0003F43A ?OnEvent@CParserTag@@QAEJPAUIDispatch@@@Z
0003F43F 0003F462 ??0?$CComObject@VCSimpleTagPropBag2@@@ATL@@QAE@PAX@Z
0003F467 0003F48A ??0?$CComObject@VCParserTagPropBag2@@@ATL@@QAE@PAX@Z
0003F48F 0003F4C5 ?CreateInstance@?$CComObject@VCEventHandler@@@ATL@@SGJPAPAV12@@Z
0003F4CA 0003F4E9 ?OnEvent@CEventHandler@@UAGJPAUIDispatch@@@Z
0003F4EE 0003F54B ?AddStyleSink@CParserTag@@AAEJPAUIHTMLElement2@@@Z
0003F550 0003F6F0 ?SetupMouseEventHandler@CParserTag@@AAEJPAUIHTMLElement2@@K@Z
0003F6F5 0003F8F6 ?UpdateStyle@CParserTag@@AAEJXZ
0003F8FB 0003F965 ?SetupStyleChangeNotificationSink@CParserTag@@AAEJXZ
0003F96A 0003F98A ?OnUpdate@CParserTag@@UAEJ_N@Z
0003F98F 0003FA47 ?Load@CParserTag@@QAEJPAUIPropertyBag2@@PAUIErrorLog@@@Z
0003FA4C 0003FA66 ?Load@?$CPTPropBag2@VCParserTag@@@@UAGJPAUIPropertyBag2@@PAUIErrorLog@@@Z
