0001FA73 0001FAC3 _ldap_first_reference
0001FAC8 0001FB18 _ldap_next_reference
0001FB1D 0001FB6D _ldap_count_references
0001FB72 0001FBCA _ldap_parse_referenceW
0001FBCF 0001FC27 _ldap_parse_referenceA
0001FC2C 0001FC37 _ldap_unbind_s
0001FC3C 0001FCB0 _GetConnectionPointer2@4
0001FCC1 0001FCE4 _ldapSwapTags@12
0001FCE9 0001FCEB ldap_set_dbg_routine
0001FCEB 0001FCEC _ldap_set_dbg_routine
0001FCF1 0001FD38 _ldap_memfree
0001FD3D 0001FD45 _ldap_memfreeW
0001FD4A 0001FD5F _ldap_set_dbg_flags
0001FD64 0001FE45 _add_string_to_list@16
0001FE4A 0001FE89 _ldap_MoveMemory@12
0001FE8E 0001FEA4 _LdapGetLastError
0001FEA9 0001FF5B _LdapMapErrorToWin32
0002002C 0002004B _ldap_conn_from_msg
00020050 000200F4 _IsMessageIdValid@4
000200F9 000200FC ?LogAttributesAndControls@@YGXQAPAGQAPAUldapmodW@@PAPAUldapcontrolW@@E@Z
00020101 00020107 _LdapGetModuleBuildNum@0
0002010C 00020138 _RoundUnicodeStringMaxLength@8
0002013D 0002017B _EncodeUnicodeString@4
00020180 000201C1 _DecodeUnicodeString@4
000201C6 000201F8 _ldapSecureFree@8
000201FD 0002022B _ldap_err2stringW
00020230 0002025B _ldap_err2string
00020260 0002034D _GetErrorMessage@8
00020352 0002035A ?Win9xSslQueryCredentialsAttributes@@YGJPAU_SecHandle@@KPAX@Z
0002035F 000203EB ?Win9xAcquireCredentialsHandle@@YGJPAG0KPAX1P6GX11KPAPAXPAJ@Z1PAU_SecHandle@@PAT_LARGE_INTEGER@@@Z
000203F0 0002045E ?Win9xInitializeSecurityContext@@YGJPAU_SecHandle@@0PAGKKKPAU_SecBufferDesc@@K02PAKPAT_LARGE_INTEGER@@@Z
