0000A901 0000A90B ?Release@CInputContext@@WCI@AGKXZ
0000A910 0000A91A ?AddRef@CInputContext@@WCM@AGKXZ
0000A91F 0000A929 ?Release@CInputContext@@WCM@AGKXZ
0000A92E 0000A938 ?AddRef@CInputContext@@WDA@AGKXZ
0000A93D 0000A947 ?Release@CInputContext@@WDA@AGKXZ
0000A94C 0000A9D6 ?_IsInCollection@CDisplayAttributeMgr@@SGHABU_GUID@@@Z
0000A9DB 0000AAAE ??0CInputContext@@QAE@K@Z
0000AAB3 0000AAD4 ??_ECInputContext@@UAEPAXI@Z
0000AAD9 0000ABAA ?AdviseSingleSink@CInputContext@@UAGJKABU_GUID@@PAUIUnknown@@@Z
0000ABAF 0000ACF4 ?_GetProperty@CInputContext@@QAEJABU_GUID@@PAPAVCProperty@@@Z
0000AD19 0000AE34 ?_DoPostTextEditNotifications@CInputContext@@AAEXPAVCComposition@@KKKPAUIAnchor@@1PAVCRange@@@Z
0000AE39 0000AE57 ??0CRange@@QAE@XZ
0000AE5C 0000AE66 ?QueryInterface@CRange@@W3AGJABU_GUID@@PAPAX@Z
0000AE6B 0000AE75 ?AddRef@CRange@@W3AGKXZ
0000AE7A 0000AE84 ?Release@CRange@@W3AGKXZ
0000AE89 0000AE93 ?GetText@CRange@@W3AGJKKPAGKPAK@Z
0000AE98 0000AEA2 ?SetText@CRange@@W3AGJKKPBGJ@Z
0000AEA7 0000AEB1 ?GetFormattedText@CRange@@W3AGJKPAPAUIDataObject@@@Z
0000AEB6 0000AEC0 ?GetEmbedded@CRange@@W3AGJKABU_GUID@@0PAPAUIUnknown@@@Z
0000AEC5 0000AECF ?InsertEmbedded@CRange@@W3AGJKKPAUIDataObject@@@Z
0000AED4 0000AEDE ?ShiftStart@CRange@@W3AGJKJPAJPBUTF_HALTCOND@@@Z
0000AEE3 0000AEED ?ShiftEnd@CRange@@W3AGJKJPAJPBUTF_HALTCOND@@@Z
0000AEF2 0000AEFC ?ShiftStartToRange@CRange@@W3AGJKPAUITfRange@@W4__MIDL___MIDL_itf_msctf_0000_0001@@@Z
0000AF01 0000AF0B ?ShiftEndToRange@CRange@@W3AGJKPAUITfRange@@W4__MIDL___MIDL_itf_msctf_0000_0001@@@Z
0000AF10 0000AF1A ?ShiftStartRegion@CRange@@W3AGJKW4__MIDL_ITfRange_0002@@PAH@Z
0000AF1F 0000AF29 ?ShiftEndRegion@CRange@@W3AGJKW4__MIDL_ITfRange_0002@@PAH@Z
0000AF2E 0000AF38 ?IsEmpty@CRange@@W3AGJKPAH@Z
0000AF3D 0000AF47 ?Collapse@CRange@@W3AGJKW4__MIDL___MIDL_itf_msctf_0000_0001@@@Z
