0000FDF8 0000FE4D ?WVTAsn1GetCatNameValue@@YGHPAUNameValue@@KPAU_CAT_NAMEVALUE@@PAPAEPAJ@Z
0000FE52 0000FE91 ?WVTAsn1GetCatMemberInfo@@YGHPAUMemberInfo@@KPAU_CAT_MEMBERINFO@@PAPAEPAJ@Z
0000FE96 0000FECA _WVTAsn1CatNameValueEncode@20
0000FECF 0000FF03 _WVTAsn1CatMemberInfoEncode@20
0000FF08 0000FF9A _WVTAsn1CatNameValueDecode@28
0000FF9F 00010031 _WVTAsn1CatMemberInfoDecode@28
0001006A 0001016C _WintrustAddActionID@12
00010171 000101DA _WintrustRemoveActionID@4
000101DF 0001020B ?_provUnloadDLL@@YGXPAUHINSTANCE__@@PAG@Z
00010210 00010347 _SetRegProvider@16
0001034C 000103DD _RemoveRegProvider@8
000103E2 00010441 _WintrustSetRegPolicyFlags@4
00010446 00010486 ?_OpenStore@@YGPAXKKPAG@Z
0001048B 00010501 ?_RefreshStores@@YGXK@Z
00010506 0001058F _StoreProviderGetStore@8
00010594 00010669 _TrustOpenStores@16
0001066E 000106CA _TrustIsCertificateSelfSigned@12
000106CF 00010712 ?_SetCertErrorAndHygiene@@YGHPBU_CERT_CONTEXT@@0KPAK@Z
00010717 000107E5 ?_CompareAuthKeyId2@@YGHKPBU_CERT_CONTEXT@@0@Z
000107F7 000108A8 ?_CompareAuthKeyId@@YGHKPBU_CERT_CONTEXT@@0@Z
000108B6 00010939 ?_SetConfidenceOnIssuer@@YGXKPBU_CERT_CONTEXT@@0KPAU_FILETIME@@PAK2@Z
0001093E 00010B2F ?_GetExternalIssuerCert@@YGPBU_CERT_CONTEXT@@PBU1@KPAK1PAU_FILETIME@@@Z
00010B72 00010CCE _TrustFindIssuerCertificate@32
00010CD3 00010EBB _WintrustAddDefaultForUsage@8
00010EC0 00011158 _WintrustGetDefaultForUsage@12
0001115D 000111A0 ?_WVTSipFreeSubjectInfoKeepState@@YGHPAUSIP_SUBJECTINFO_@@@Z
000111A5 0001122D ?_CleanupProviderNonStateData@@YGXPAU_CRYPT_PROVIDER_DATA@@@Z
00011232 00011264 ?FreeWintrustStateData@@YGXPAU_WINTRUST_DATA@@@Z
00011269 0001131B _WTHelperGetFileHash@24
00011320 0001132B _WinVerifyTrustEx@12
00011330 00011389 _WTHelperGetProvPrivateDataFromChain@8
0001138E 0001147B _WTHelperOpenKnownStores@4
00011480 00011508 _WTHelperGetAgencyInfo@12
0001150D 00011542 ?_FindKeyUsage@@YGHPAU_CTL_USAGE@@PBD@Z
00011547 000115FE _WTHelperIsInRootStore@8
00011603 0001166A pfnEnumOIDInfo
0001166F 000116E1 _WTHelperGetKnownUsages@8
000116E6 000116F2 _CryptCATStoreFromHandle@4
000116F7 00011716 _WTHelperCertCheckValidSignature@4
0001171B 000117F6 _WTHelperCheckCertUsage@8
00011814 000118FF ?ConvertDataFromVersion1@@YGPAU_WINTRUST_DATA@@PAUHWND__@@PAU_GUID@@PAU1@PAUWINTRUST_FILE_INFO_@@PAX@Z
00011904 00011C19 ?Version1_RegLoadProvider@@YGPAU_LOADED_PROVIDER_V1@@PAUHKEY__@@PADPAU_GUID@@@Z
00011C58 00011C8D ?Version1_UnloadProvider@@YGXPAU_LOADED_PROVIDER_V1@@@Z
00011C92 00011CE4 ?Version1_TestProviderForAction@@YGPAU_LOADED_PROVIDER_V1@@PAUHKEY__@@PADPAU_GUID@@@Z
00011CE9 00011DD4 ?Version1_LoadProvider@@YGPAU_LOADED_PROVIDER_V1@@PAU_GUID@@@Z
00011E13 00011E51 _Version1_WinVerifyTrust@12
00011E56 00011EAC ?AdjustWintrustDataToCachedState@CCatalogCache@@QAEXPAU_WINTRUST_DATA@@PAU_CATALOG_CACHED_STATE@@H@Z
00011EB1 00011F75 ?CreateCachedStateFromWintrustData@CCatalogCache@@QAEHPAU_WINTRUST_DATA@@PAPAU_CATALOG_CACHED_STATE@@@Z
00011F7A 00011F92 ?ReleaseCachedState@CCatalogCache@@QAEXPAU_CATALOG_CACHED_STATE@@@Z
00011F97 00011FAD ?AddCachedState@CCatalogCache@@QAEXPAU_CATALOG_CACHED_STATE@@@Z
00011FB2 00011FF0 ?FindCachedState@CCatalogCache@@QAEPAU_CATALOG_CACHED_STATE@@PAU_WINTRUST_DATA@@@Z
00011FF5 00012054 ?CatalogCacheFreeEntryData@@YGXPAX@Z
00012059 00012088 ?CatalogCacheHashIdentifier@@YGKPAU_CRYPTOAPI_BLOB@@@Z
00012088 00012180 ___report_gsfailure
00012185 0001225C _GenericChainRegisterServer@0
000122C7 0001231F _GenericChainUnregisterServer@0
00012324 0001238A ?GenericChainGetAdditionalStore@@YGPAXPAU_CRYPT_PROVIDER_DATA@@@Z
