0000B6D6 0000B706 ?cbDbgtype@@YAJW4DBGTYPE@@@Z
0000B70D 0000B751 ??0PDBCopy@@QAE@PAUPDB@@0PAUDBI@@1KP6AP6AHXZPAXW4PCC@@@Z2@Z
0000B756 0000B781 ?szFromSt@@YAPADQADPBD@Z
0000B788 0000B7B4 ?szToStInPlace@@YAPADPAD@Z
0000B7BB 0000B7ED ?CloseMods@PDBCopy@@AAEXPAPAUMod@@@Z
0000B7F4 0000B823 ?QueryLastErrorExW@PDBCopy@@QAEJPAGI@Z
0000B82A 0000BAA6 ?CopyMods@PDBCopy@@AAEHXZ
0000BAAD 0000BADD ?_GetSZMBCSFromSZUnicode@@YAPADPBGPADI@Z
0000BAE4 0000BB10 ?_GetSZUnicodeFromSZMBCS@@YAPAGPBDPAGI@Z
0000BB17 0000BB56 ?_GetSZUnicodeFromSTMBCS@@YAPAGPBDPAGI@Z
0000BB5D 0000BBC2 ?CopyTo@PDB1@@UAEHPBDKK@Z
0000BBC7 0000BBDB ?CopyToW@PDB1@@UAEHPBGKK@Z
0000BBE0 0000BC23 ?bitcount@@YAII@Z
0000BC28 0000BC30 ?next@EnumNMTNI@@UAEHXZ
0000BC37 0000BC96 ?setAltPathW@PDB1@@QAEXPBG@Z
0000BC9B 0000BCBA ?FBetterError@PDB1@@CA_NJJ@Z
0000BD23 0000BD44 ??2@YAPAXIPAVPDB1@@@Z
0000BD49 0000BD72 ??0NewDBIHdr@@QAE@XZ
0000BD77 0000BD7C ?reset@?$EnumMap@USZO@NMTNI@@KV?$HashClassWithContext@USZO@NMTNI@@VBuffer@pdb_internal@@$02@pdb_internal@@VBuffer@4@@pdb_internal@@UAEXXZ
0000BD81 0000BD9A ?uninit@?$POOL@$03@@AAEXXZ
0000BDA1 0000BDD2 ??0?$Array@K@pdb_internal@@QAE@I@Z
0000BDD9 0000BE1B ?save@?$Array@K@pdb_internal@@QBEHPAVBuffer@2@@Z
0000BE22 0000BE8F ?reload@?$Array@K@pdb_internal@@QAEHPAPAEJ@Z
0000BE96 0000BEB3 ?Free@Buffer@pdb_internal@@QAEXXZ
0000BEBA 0000BF02 ?save@Buffer@pdb_internal@@QBEHPAV12@@Z
0000BF07 0000BF48 ?reload@Buffer@pdb_internal@@QAEHPAPAEJ@Z
0000BF4F 0000BF8C ?CreateDBI@PDB1@@UAEHPBDPAPAUDBI@@@Z
0000BF93 0000BFF0 ?OpenDBIEx@PDB1@@UAEHPBD0PAPAUDBI@@P6GHPAU_tagSEARCHDEBUGINFO@@@Z@Z
0000BFF7 0000C02A ??1PDBCopy@@QAE@XZ
0000C02F 0000C055 ?cardinality@ISet@pdb_internal@@QBEIXZ
0000C05C 0000C087 ?setHashSize@?$Map@KKV?$HashClass@K$0A@@pdb_internal@@X@pdb_internal@@QAEHI@Z
0000C08C 0000C0B5 ?swap@?$Array@UIModSec@DBI1@@@pdb_internal@@QAEXAAV12@@Z
0000C0BC 0000C10A ??0?$Map@KUSZO@NMTNI@@V?$HashClass@K$0A@@pdb_internal@@X@pdb_internal@@QAE@I@Z
0000C10F 0000C135 ?get@?$EnumMap@USZO@NMTNI@@KV?$HashClassWithContext@USZO@NMTNI@@VBuffer@pdb_internal@@$02@pdb_internal@@VBuffer@4@@pdb_internal@@QAEXPAUSZO@NMTNI@@PAK@Z
0000C13C 0000C22D ?CopySecMap@PDBCopy@@AAEHXZ
0000C234 0000C440 ?CopyPublics@PDBCopy@@AAEHXZ
0000C447 0000C54C ?CopyDbgtype@PDBCopy@@AAEHW4DBGTYPE@@@Z
0000C551 0000C57A ?contains@ISet@pdb_internal@@QBIHI@Z
0000C57F 0000C5A5 ?remove@ISet@pdb_internal@@QAIHI@Z
0000C5AC 0000C5E2 ?ensureRoomFor@ISet@pdb_internal@@AAEHI@Z
0000C5E9 0000C63A ??0NMTNI@@QAE@P6AHPAXPAK@Z0@Z
0000C63F 0000C65F ??0EnumNMTNI@@QAE@ABVNMTNI@@@Z
0000C675 0000C67D ?reset@EnumNMTNI@@UAEXXZ
0000C684 0000C6AC ?get@EnumNMTNI@@UAEXPAPBDPAK@Z
0000C6B3 0000C6D3 ??1NMTNI@@QAE@XZ
0000C6DA 0000C756 ??1TPI1@@AAE@XZ
0000C75B 0000C762 ?SupportQueryTiForUDT@TPI1@@UAEHXZ
