00006E96 00006F6B ?HrCreateHlinkFromCfFileName@@YGJPAUtagSTGMEDIUM@@PAUIHlinkSite@@KPAUIUnknown@@ABU_GUID@@PAPAX@Z
00006F70 000070E5 _HlinkSetSpecialReference@8
000070EA 0000730A ?HrIntHlinkGetSpecialRef@@YGJHKPAPAG@Z
0000730F 000073B0 _OleSaveToStreamEx@12
000074AB 0000754B _HlinkCreateShortcut@24
00007550 00007579 ?StringCchPrintfA@@YAJPADIPBDZZ
0000757E 00007630 _HlinkGetValueFromParams@12
00007635 0000774B _HlinkClone@20
00007750 00007814 _HlinkPreprocessMoniker@12
00007819 00007905 ?HrCreateHlinkFromCfHyperlink@@YGJPAUtagSTGMEDIUM@@PAUIHlinkSite@@KPAUIUnknown@@ABU_GUID@@PAPAX@Z
0000790A 00007A8D _HlinkCreateFromData@24
00007A92 00007AC4 _HlinkGetSpecialReference@8
00007AC9 00007B94 _HlinkNavigate@24
00007B99 00007BF9 _HlinkNavigateToStringReference@36
00007BFE 00007C2D ?HrStWrite@@YGJPAUIStream@@PAXK@Z
00007C32 00007C61 ?HrStRead@@YGJPAUIStream@@PAXK@Z
00007C66 00007D63 ?HrGetValueFromModifiedParams@@YGJPAGPBGPAPAG@Z
00007D68 00007D8D ?HrPingObject@@YGJPAUIUnknown@@@Z
00007D92 00007E43 ?HrPingObjectRecursive@@YGJPAUIUnknown@@@Z
00007E48 00007EA7 ?FIsProgIdSafe@@YGHPBD@Z
00007EAC 00007F2A ?FIsExtensionSafe@@YGHPBD@Z
00007F2F 00007F61 ?FIsMimeTypeSafe@@YGHPBG@Z
00007F66 00007FA5 ?StringLengthWorkerA@@YGJPBDIPAI@Z
00007FAA 00007FCF ?Stubcmc_logoff@@YGKKKKPAUCMC_extension@@@Z
00007FD4 0000804F ?HrReadWzStream@@YGJPAUIStream@@PAPAGKH@Z
00008054 00008090 ?HrReadLengthWzStm@@YGJPAUIStream@@PAPAGH@Z
00008095 00008240 ?HrDoMailto@@YGJPAGPAUtagSTGMEDIUM@@@Z
00008245 00008278 ?StringCatWorkerA@@YGJPADIPBD@Z
0000827D 00008300 ?HrWriteLengthWzStm@@YGJPAUIStream@@PBG@Z
00008305 00008471 ?HrAllowUnsafeUrl@@YGJPBG@Z
00008476 0000851C ?FIsClsidSafe@@YGHPBG@Z
000085C7 0000861C ?HrSynchronizeState@HLBC@@AAEJPAPAUIStream@@H@Z
00008621 00008660 ?RevNavStackEnum@HLBC@@AAEXPAVHLBCNavStackEnum@@@Z
00008665 000086C4 ?UGetRealHlinkID@HLBC@@AAEKK@Z
000086C9 0000873E ?HrAddNewMruEntry@HLBC@@AAEJKKK@Z
00008743 0000877E ?RemoveMruListEntry@HLBC@@AAEXH@Z
00008783 000087AE ?FindMruEntryFromStreamNum@HLBC@@AAEHK@Z
000087B3 000087E6 ?FindMruEntryFromRegCookie@HLBC@@AAEHKK@Z
000087EB 00008805 ?QueryInterface@HLBC@@EAGJABU_GUID@@PAPAX@Z
0000880A 000088A1 ?QueryInterface@HLBC_Unk@@UAGJABU_GUID@@PAPAX@Z
000088A6 000088C5 ?FCanMarshalIID@HLBC_Marshal@@AAEHABU_GUID@@@Z
000088CA 000088E4 ?QueryInterface@HLBC_Marshal@@UAGJABU_GUID@@PAPAX@Z
000088E9 000088FE ?AddRef@HLBC_Marshal@@UAGKXZ
00008903 00008918 ?Release@HLBC_Marshal@@UAGKXZ
0000891D 00008922 ?ReleaseMarshalData@HLBC_Marshal@@UAGJPAUIStream@@@Z
00008927 00008941 ?QueryInterface@HLBC_Persist@@UAGJABU_GUID@@PAPAX@Z
00008946 0000895B ?AddRef@HLBC_Persist@@UAGKXZ
00008960 00008975 ?Release@HLBC_Persist@@UAGKXZ
0000897A 000089A0 ?GetClassID@HLBC_Persist@@UAGJPAU_GUID@@@Z
000089A5 000089BB ??1HLBCNavStackEnum@@QAE@XZ
000089C0 000089E1 ??_GHLBCNavStackEnum@@QAEPAXI@Z
000089E6 00008A32 ?QueryInterface@HLBCNavStackEnum@@UAGJABU_GUID@@PAPAX@Z
00008A37 00008A8E ?Skip@HLBCNavStackEnum@@UAGJK@Z
00008A93 00008AB5 ?Reset@HLBCNavStackEnum@@UAGJXZ
00008ABA 00008C2D ?HrInitNew@HLBC@@QAEJXZ
00008C32 00008C80 ?HrGetMonikerForThisContext@HLBC@@AAEPAUIMoniker@@XZ
00008C85 00008CC4 ?HrNormalizeMoniker@HLBC@@AAEJPAUIMoniker@@PAPAU2@@Z
00008CC9 00008D0B ?HrGetObjectFromROT@HLBC@@AAEJPAUIRunningObjectTable@@PAUIMoniker@@PAPAUIUnknown@@@Z
00008D10 00008D50 ?HrRegNavStackEnum@HLBC@@AAEJPAVHLBCNavStackEnum@@@Z
00008D55 00008D85 ?DestroyNavStackEnumList@HLBC@@AAEXXZ
00008D8A 00008E0D ?HrMoveMruEntryToTop@HLBC@@AAEJK@Z
00008E12 00008E65 ?SetBrowseWindowInfo@HLBC@@EAGJPAU_tagHLBWINFO@@@Z
00008E6A 00008EB0 ?GetBrowseWindowInfo@HLBC@@EAGJPAU_tagHLBWINFO@@@Z
00008EB5 00008F09 ?QueryHlink@HLBC@@EAGJKK@Z
00008F0E 00008F5F ?SetCurrentHlink@HLBC@@EAGJK@Z
00008F64 00008FB1 ?SetInitialHlink@HLBC@@EAGJPAUIMoniker@@PBG1@Z
00008FB6 00008FFA ?ResetNavigationStack@HLBC@@EAGJXZ
00008FFF 0000905B ?SetStackNavPendingHlink@HLBC@@EAGJK@Z
00009060 0000909E ?hrValidateMarshalParams@HLBC_Marshal@@AAEJABU_GUID@@PAXK1K@Z
000090A3 000090D7 ?GetUnmarshalClass@HLBC_Marshal@@UAGJABU_GUID@@PAXK1KPAU2@@Z
000090DC 00009133 ?GetMarshalSizeMax@HLBC_Marshal@@UAGJABU_GUID@@PAXK1KPAK@Z
00009138 0000917A ?MarshalInterface@HLBC_Marshal@@UAGJPAUIStream@@ABU_GUID@@PAXK2K@Z
0000917F 000092FA ?UnmarshalInterface@HLBC_Marshal@@UAGJPAUIStream@@ABU_GUID@@PAPAX@Z
000092FF 0000933A ?FInit@HLBCNavStackEnum@@QAEHPAVHLBC@@KK@Z
0000933F 00009361 ?Release@HLBCNavStackEnum@@UAGKXZ
00009366 000093C0 ??1HLBC@@QAE@XZ
000093C5 0000943A ?HrGetHlinkStream@HLBC@@AAEJHKKPAPAUIStream@@@Z
0000943F 000094C6 ?HrGetMkStream@HLBC@@AAEJHKKPAPAUIStream@@@Z
000094CB 00009537 ?HrDeleteMkStream@HLBC@@AAEJK@Z
0000953C 00009621 ?FIsCurrentHlinkTarget@HLBC@@AAEHPAUIMoniker@@PBG@Z
00009626 000096B1 ?HrIntGetHlink@HLBC@@AAEJHKPAPAUIHlink@@@Z
000096B6 00009753 ?HrIntIsInitialHlinkSaved@HLBC@@AAEJH@Z
00009758 00009900 ?HrCopyNewMonikerToAllLinks@HLBC@@AAEJPAUIMoniker@@0K@Z
00009905 00009A45 ?HrPingRegisteredEntry@HLBC@@AAEJKHPAUIMoniker@@@Z
00009A4A 00009B37 ?HrDeleteLastMruEntryIfFull@HLBC@@AAEJPAK@Z
00009B3C 00009BB2 ?HrCleanUpRevokedObject@HLBC@@AAEJK@Z
00009BB7 00009C59 ?FindMkStreamFromMk@HLBC@@AAEKPAUIMoniker@@@Z
00009C5E 00009DC1 ?Register@HLBC@@EAGJKPAUIUnknown@@PAUIMoniker@@PAK@Z
00009DC6 00009F5C ?GetObjectA@HLBC@@EAGJPAUIMoniker@@HPAPAUIUnknown@@@Z
00009F61 00009FBF ?Revoke@HLBC@@EAGJK@Z
00009FC4 0000A001 ?GetHlink@HLBC@@EAGJKPAPAUIHlink@@@Z
0000A006 0000A158 ?OnNavigateHlink@HLBC@@EAGJKPAUIMoniker@@PBG1PAK@Z
0000A15D 0000A2EF ?UpdateHlink@HLBC@@EAGJKPAUIMoniker@@PBG1@Z
0000A2F4 0000A34C ?Close@HLBC@@EAGJK@Z
0000A351 0000A379 ?IsInitialHlinkSaved@HLBC@@EAGJXZ
0000A37E 0000A3D6 ?OnRename@HLBC@@EAGJKPAUIMoniker@@0@Z
0000A3DB 0000A419 ?New@HLBCNavStackEnum@@SGPAV1@XZ
0000A41E 0000A45C ?Create@HLBCNavStackEnum@@SGPAV1@PAVHLBC@@KK@Z
0000A461 0000A52A ?Next@HLBCNavStackEnum@@UAGJKPAUtagHLITEM@@PAK@Z
0000A52F 0000A578 ?Clone@HLBCNavStackEnum@@UAGJPAPAUIEnumHLITEM@@@Z
0000A57D 0000A59E ??_GHLBC@@QAEPAXI@Z
0000A5A3 0000A616 ??0HLBC@@QAE@PAUIUnknown@@@Z
0000A61B 0000A654 ?New@HLBC@@CGPAV1@PAUIUnknown@@@Z
