0000D180 0000D184 ?GetInlineBufferCch@?$CGenericStringBuffer@$07VCUnicodeCharTraits@@@@MBEKXZ
0000D3AB 0000D3B1 __snwprintf
0000D3B6 0000D3D1 ??0CNamespacePrefix@CXMLNamespaceManager@@QAE@XZ
0000D416 0000D430 ?popAttribute@XMLParser@@AAEXXZ
0000D46E 0000D487 ??0?$_rawstack@UInputInfo@XMLStream@@@@QAE@J@Z
0000D48C 0000D4AF ?firstAdvance@XMLStream@@AAEJXZ
0000D552 0000D57B ?pushTable@XMLStream@@AAEJFPBUStateEntry@@K@Z
0000D5F6 0000D616 ??0BufferedStream@@QAE@PAVXMLStream@@@Z
0000D62B 0000D698 ?wideCharFromUtf8@CharEncoder@@SGJPAKIPAEPAIPAG2@Z
0000D740 0000D76D ?SxspCharPairArrayComparisonCallback@@YAHPBX0@Z
0000D78D 0000D8B6 _SxsValidateAssemblyIdentityAttribute@8
0000D8FE 0000D99A ?FusionpHashUnicodeString@@YGHPBGKPAK_N@Z
0000D9CA 0000DB70 ?SxspGenerateAssemblyNamePrimeFromName@@YGHPBGKPAV?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@@Z
0000DB85 0000DBCD ?IsValidAssemblyNameCharacter@@YGHG@Z
