00006869 00006874 ??1COleLinksDialog@@UAE@XZ
00006879 000068B7 ??1CDialog@@UAE@XZ
000068BC 00006916 ?OnCtlColor@CControlBar@@QAEPAUHBRUSH__@@PAVCDC@@PAVCWnd@@I@Z
0000691B 00006957 ?GetItemRect@CToolBar@@UBEXHPAUtagRECT@@@Z
0000695C 0000699E ?UpdateAllItems@COleServerDoc@@QAEXPAVCOleServerItem@@JPAVCObject@@W4tagDVASPECT@@@Z
000069A3 000069A8 ?OnCtlColor@CDialog@@IAEPAUHBRUSH__@@PAVCDC@@PAVCWnd@@I@Z
000069AD 00006A12 ?OnGrayCtlColor@CWnd@@QAEPAUHBRUSH__@@PAVCDC@@PAV1@I@Z
00006A17 00006AB5 ?UpdateData@CWnd@@QAEHH@Z
00006ABA 00006AD0 ??0CDataExchange@@QAE@PAVCWnd@@H@Z
00006AD5 00006B14 ?OnDrawItem@CWnd@@IAEXHPAUtagDRAWITEMSTRUCT@@@Z
00006B19 00006B37 ?SetSelectionCharFormat@CRichEditCtrl@@QAEHAAU_charformat@@@Z
00006B3C 00006BB6 ?OnMeasureItem@CWnd@@IAEXHPAUtagMEASUREITEMSTRUCT@@@Z
00006BBB 00006BDC ?ShowWindow@CWnd@@QAEHH@Z
00006BE1 00006C31 ?DestroyWindow@CWnd@@UAEHXZ
00006C36 00006C63 ?OnParentNotify@CWnd@@IAEXIJ@Z
00006C68 00006C86 ?_AfxRelease@@YGKPAPAUIUnknown@@@Z
00006C8B 00006CA2 ??0CPtrArray@@QAE@XZ
00006CA2 00006CB3 __tailMerge_ADVAPI32
00006CB8 00006DA7 ?UpdateFrameCounts@CDocument@@UAEXXZ
00006DAC 00006DC8 ?OnChangedViewList@CDocument@@UAEXXZ
00006DCD 00006E29 ?SetActiveView@CFrameWnd@@QAEXPAVCView@@H@Z
00006E2E 00006F27 ?SaveModified@CDocument@@UAEHXZ
00006F2C 0000700F ?SaveModified@COleDocument@@UAEHXZ
00007014 0000707E ?AfxGetFileTitle@@YGIPBDPADI@Z
00007083 000070B9 ?SaveModified@COleServerDoc@@MAEHXZ
000070BE 000070ED ?GetLength@CFile@@UBEKXZ
000070F2 00007215 ?_AfxActivationWndProc@@YGJPAUHWND__@@IIJ@Z
00007256 00007362 ?SetSize@CUIntArray@@QAEXHH@Z
00007367 000073C3 ?OnChildNotify@CComboBox@@MAEHIIJPAJ@Z
000073C8 00007466 __DllMainCRTStartup@12
0000746B 00007518 __CRT_INIT@12
0000751D 00007540 ??0CPtrList@@QAE@H@Z
00007545 00007560 ?AfxDeleteObject@@YGXPAPAX@Z
00007560 00007571 __tailMerge_ole32
00007576 00007591 ?ExternalAddRef@CCmdTarget@@QAEKXZ
00007596 000075D8 ?InternalQueryInterface@CCmdTarget@@QAEKPBXPAPAX@Z
000075DD 00007698 ?GetInterface@CCmdTarget@@QAEPAUIUnknown@@PBX@Z
0000769D 000076B2 ?ExternalRelease@CCmdTarget@@QAEKXZ
000076B7 0000770E ?InternalRelease@CCmdTarget@@QAEKXZ
00007713 00007775 ?QueryAggregates@CCmdTarget@@QAEPAUIUnknown@@PBX@Z
0000777A 00007798 ?ExternalQueryInterface@CCmdTarget@@QAEKPBXPAPAX@Z
0000779D 00007801 ?Revoke@COleLinkingDoc@@QAEXXZ
00007806 00007853 ?DeleteContents@COleDocument@@UAEXXZ
00007858 00007892 ?UpdateVisibleLock@COleLinkingDoc@@IAEXHH@Z
00007897 000078DF ?LockExternal@COleLinkingDoc@@IAEXHH@Z
000078E4 0000796F ?DeleteContents@COleServerDoc@@UAEXXZ
00007974 000079CD ?GetInterfaceHook@COleServerDoc@@MAEPAUIUnknown@@PBX@Z
000079D2 000079D8 ?GetInterfaceMap@COleServerDoc@@MBEPBUAFX_INTERFACEMAP@@XZ
000079DD 000079F7 ?QueryInterface@XPersistStorage@COleServerDoc@@UAGJABU_GUID@@PAPAX@Z
000079FC 00007A02 ?GetInterfaceMap@COleLinkingDoc@@MBEPBUAFX_INTERFACEMAP@@XZ
00007A07 00007A19 ?Release@XPersistStorage@COleServerDoc@@UAGKXZ
00007A1E 00007A49 ?Detach@CGdiObject@@QAEPAXXZ
00007A4E 00007A81 ??1CPtrList@@UAE@XZ
00007A86 00007AD5 ??1CWinThread@@UAE@XZ
00007ADA 00007B0D ??1CMapPtrToPtr@@UAE@XZ
00007B12 00007B53 ??1CHandleMap@@QAE@XZ
00007B58 00007B68 ?Close@CArchive@@QAEXXZ
00007B6D 00007BB3 ??1CArchive@@QAE@XZ
00007BB8 00007BFC ?Abort@CArchive@@QAEXXZ
00007C01 00007C0C ??1CSocketFile@@UAE@XZ
00007C11 00007C5F ??1CFile@@UAE@XZ
00007C64 00007CA5 ??0_AFX_EDIT_STATE@@QAE@XZ
00007CAA 00007DB3 ?AfxFormatStrings@@YGXAAVCString@@PBDPBQBDH@Z
00007DB8 00007DE8 ?SetMapMode@CDC@@UAEHH@Z
00007DED 00007E0E ?EnableWindow@CWnd@@QAEHH@Z
00007E13 00007E2A ?AfxFormatString1@@YGXAAVCString@@IPBD@Z
00007E2F 00007E81 ?AfxFormatStrings@@YGXAAVCString@@IPBQBDH@Z
00007E86 00007ECE ??1CSplitterWnd@@UAE@XZ
00007ED3 00007EEA ?QueryInterface@XClassFactory@COleObjectFactory@@UAGJABU_GUID@@PAPAX@Z
00007EEF 00007EF5 ?GetInterfaceMap@COleObjectFactory@@MBEPBUAFX_INTERFACEMAP@@XZ
00007EFA 00007F09 ?Release@XClassFactory@COleObjectFactory@@UAGKXZ
00007F09 00007F1A __tailMerge_oledlg
00007F1F 00007F29 ?OnEditSelectAll@CRichEditView@@IAEXXZ
00007F2E 00007F4F ?OnUpdateRecentFileMenu@CWinApp@@IAEXPAVCCmdUI@@@Z
00007F54 000081C7 ?UpdateMenu@CRecentFileList@@UAEXPAVCCmdUI@@@Z
000081CC 000081DD ?OnUpdateFileExit@COleServerDoc@@IAEXPAVCCmdUI@@@Z
000081E2 00008244 ?UpdateUsingHostObj@COleServerDoc@@IAEXIPAVCCmdUI@@@Z
00008249 00008383 ?GetDisplayName@CRecentFileList@@QBEHAAVCString@@HPBDHH@Z
00008388 0000845E ?_AfxAbbreviateName@@YGXPADHH@Z
00008463 00008539 ?OnUpdateFileSendMail@CDocument@@IAEXPAVCCmdUI@@@Z
0000853E 00008570 ?AfxGlobalFree@@YGXPAX@Z
00008575 00008585 ?AfxOleCanExitApp@@YGHXZ
0000858A 000085A6 ?AfxPostQuitMessage@@YGXH@Z
000085AB 000085CE ?Revoke@COleObjectFactory@@QAEXXZ
000085D3 00008684 ?AfxWinTerm@@YGXXZ
00008689 00008714 ??1COleObjectFactory@@UAE@XZ
00008719 00008769 ??1CDynLinkLibrary@@UAE@XZ
