00017F5D 00017FA9 _RpcSrvFallbackRefreshParams@8
00017FAE 00017FFF _RpcSrvStaticRefreshParams@12
00018004 000180E9 _RpcSrvPersistentRequestParams@16
000180EE 00018175 _RpcSrvRegisterParams@32
0001817A 000181D9 _DhcpOptIsSubset@8
000181DE 000182E0 _DhcpConvertBlobToOption@20
000182E5 00018378 _DhcpAddIncomingVendorOption@36
0001837D 000183BD _MadcapAddIncomingOption@24
000183C2 000183F1 _DhcpRegDeleteIpAddressAndOtherValues@4
000183F6 00018458 _DhcpRegIsOptionChanged@16
0001845D 000184C9 _DhcpClearAllOptions@4
000184CE 00018564 _DhcpCopyFallbackOptions@12
00018569 000185DA _ConcatOption@16
000185DF 000186E3 _DhcpAddIncomingMSFTVendorSpecificOption@44
000186E8 000187E7 _FormatDhcpDiscover@4
000187EC 0001888A _FormatDhcpDecline@8
0001888F 00018A76 _SendDhcpDiscover@8
00018A7B 00018B14 _SendDhcpDecline@16
00018B19 00018C1D _FormatDhcpRelease@4
00018C22 00018C45 _SendDhcpRelease@4
00018C4A 00018CC8 _AcceptThisOffer@20
00018CCD 00018ECD _InitRebootPlumbStack@4
00018ED2 00018F5D _HandleIPConflict@12
00018F62 00018F77 _HandleIPAutoconfigurationAddressConflict@4
00018F7C 00018F92 _HandleDhcpAddressConflict@8
00018F97 00019334 _ObtainInitialParameters@12
00019339 0001936B _CouldPingGateWay@4
00019370 00019669 _ReObtainInitialParameters@8
0001966E 0001972F _ReleaseIpAddress@4
00019734 0001977B _DhcpCreateHostEntries@8
00019780 00019832 _DhcpDynDnsDeregisterAdapter@16
00019837 00019916 _DhcpDynDnsRegisterStaticAdapter@16
00019921 00019957 _DhcpSetIpRoute@20
0001995C 00019A2E _GetCLRoute@16
00019A33 00019A74 _CheckCLRoutes@12
00019A79 00019AD5 _GetIpPrimaryAddresses@4
00019ADA 00019B06 _DhcpClearStaticRoutes@4
00019B54 00019B95 _DhcpDuplicateOption@4
00019B9A 00019C1A _DhcpAddClass@12
00019C1F 00019C6C _DhcpDelClass@12
00019C71 00019CDD _DhcpNotifyClientOnParamChange@8
00019CE2 00019D34 _DhcpCleanupParamChangeRequests@0
00019D39 00019E53 _DhcpAddParamChangeRequest@40
00019E58 00019EE5 _DhcpDelParamChangeRequest@12
00019EEA 00019FB5 _FallbackRefreshParams@4
00019FBA 00019FEC _ReleaseParameters@4
00019FF1 0001A151 _PersistentRequestParams@12
0001A156 0001A234 _PlumbStaticIP@4
0001A239 0001A33C _StaticRefreshParamsEx@8
0001A341 0001A354 _StaticRefreshParams@4
0001A359 0001A430 _RegisterParams@28
0001A435 0001A44C _DeRegisterParams@12
0001A451 0001A788 _GetCurrentMessageSize@8
0001A78D 0001A982 _SetMSFTVendorSpecificOptions@20
0001A987 0001AA5D _RequestCachedParams@12
0001AA62 0001AB7D _SetEventNotification@8
0001AB82 0001AC1F _AddNotificationEvent@12
0001AC24 0001ACC9 _RegisterConnectionStateNotification@12
0001ACCE 0001AD6F _DeRegisterConnectionStateNotification@8
0001AD74 0001AF3E _GetNotificationStatus@8
0001AF43 0001B01A _GetDhcpServicedConnections@8
0001B01F 0001B05E _AcquireParameters@4
0001B063 0001B0EB _AcquireParametersByBroadcast@4
0001B0F0 0001B15F _EnableDhcp@4
0001B164 0001B1C6 _DisableDhcp@4
0001B1CB 0001B242 _GrandHashing@20
0001B247 0001B368 _DhcpPerformIPAutoconfiguration@4
0001B38B 0001B493 _DispatchPkt@8
0001B498 0001B49E _DnsRemoveRegistrations@0
0001B4A3 0001B4A9 _GetIpAddrTable@12
0001B4AE 0001B4BA _NetpDeleteSecurityObject@4
0001B4BF 0001B4FC _NetpInitializeDeniedAce@24
0001B501 0001B53E _NetpInitializeAuditAce@24
