0000C972 0000C9B1 ?DesignerPostEditorEventNotify@CHTMLEditor@@IAEJJPAUIHTMLEventObj@@@Z
0000C9B6 0000C9FA ?DesignerPostHandleEvent@CHTMLEditor@@IAEJJPAUIHTMLEventObj@@@Z
0000C9FF 0000CA43 ?DesignerTranslateAccelerator@CHTMLEditor@@IAEJJPAUIHTMLEventObj@@@Z
0000CA48 0000CAE4 ?DesignerQueryStatus@CHTMLEditor@@IAEJPBU_GUID@@PAU_tagOLECMD@@PAU_tagOLECMDTEXT@@@Z
0000CAE9 0000CBB3 ?DesignerExec@CHTMLEditor@@IAEJPBU_GUID@@KKPAUtagVARIANT@@1@Z
0000CBB8 0000CBE1 ?GetISelectionServices@CHTMLEditor@@QAEPAUISelectionServices@@XZ
0000CBE6 0000CBFC ?ConvertRTFToHTML@CHTMLEditor@@QAEJPAGPAPAX@Z
0000CC01 0000CC59 ?FindCommandTarget@CHTMLEditor@@IAEJPAUIMarkupContainer@@PAPAVCMshtmlEd@@@Z
0000CC5E 0000CCB1 ?AddCommandTarget@CHTMLEditor@@IAEJPAUIMarkupContainer@@PAPAVCMshtmlEd@@@Z
0000CCB6 0000CCEF ?DeleteCommandTarget@CHTMLEditor@@IAEJPAUIMarkupContainer@@@Z
0000CCF4 0000CD02 ?PushCommandTarget@CHTMLEditor@@QAEJPAVCMshtmlEd@@@Z
0000CD07 0000CD1A ?TopCommandTarget@CHTMLEditor@@QAEPAVCMshtmlEd@@XZ
0000CD1F 0000CD4D ?SetDoc@CHTMLEditor@@QAEXPAUIHTMLDocument2@@@Z
0000CD52 0000CDA3 ?IsInWindow@CHTMLEditor@@QAEHPAUHWND__@@UtagPOINT@@H@Z
0000CDA8 0000CDCB ?Release@CEditDispWrapper@@UAGKXZ
0000CDD0 0000CE23 ?QueryInterface@CEditDispWrapper@@UAGJABU_GUID@@PAPAX@Z
0000CE28 0000CE4B ?Invoke@CTimeoutHandler@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
0000CE50 0000CE70 ??_GCComposeSettingsCommand@@UAEPAXI@Z
0000CE75 0000CE8F ??1CComposeSettingsCommand@@UAE@XZ
0000CE94 0000CEB7 ??0CHTMLEditor@@QAE@XZ
0000CEBC 0000CEDC ??_GCOMPOSE_SETTINGS@@QAEPAXI@Z
0000CEE1 0000D016 ?CanHandleEvent@CHTMLEditor@@IAEHPAUIHTMLEventObj@@@Z
0000D01B 0000D0B4 ?IsCurrentElementEditable@CHTMLEditor@@IAEJXZ
0000D0B9 0000D157 ?PostHandleEvent@CHTMLEditor@@UAGJJPAUIHTMLEventObj@@@Z
0000D15C 0000D275 ?TranslateAcceleratorWrapW@CHTMLEditor@@UAGJJPAUIHTMLEventObj@@@Z
0000D27A 0000D3FE ?RemoveContainer@CHTMLEditor@@QAEJPAUIUnknown@@@Z
0000D403 0000D452 ?Notify@CHTMLEditor@@UAGJW4_EDITOR_NOTIFICATION@@PAUIUnknown@@K@Z
0000D457 0000D4B6 ?GetSelectionServices@CHTMLEditor@@UAGJPAUIMarkupContainer@@PAPAUISelectionServices@@@Z
0000D4BB 0000D553 ?Delete@CHTMLEditor@@UAGJPAUIMarkupPointer@@0H@Z
0000D558 0000D5DC ?DeleteCharacter@CHTMLEditor@@UAGJPAUIMarkupPointer@@HH0@Z
0000D5E1 0000D691 ?Paste@CHTMLEditor@@UAGJPAUIMarkupPointer@@0PAG@Z
0000D696 0000D740 ?PasteFromClipboard@CHTMLEditor@@UAGJPAUIMarkupPointer@@0PAUIDataObject@@@Z
0000D745 0000D804 ?SelectRangeInternal@CHTMLEditor@@QAEJPAUIMarkupPointer@@0W4_SELECTION_TYPE@@H@Z
0000D809 0000D90F ?IsEventInSelection@CHTMLEditor@@QAEJPAVCEditEvent@@@Z
