0000CCA2 0000CCD5 _CtlIssuerGetObjectUrl@32
0000CCDA 0000CD04 _CtlNextUpdateGetObjectUrl@32
0000CD09 0000CD3A _CrlIssuerGetObjectUrl@32
0000CD3F 0000CD7B ?GetOfflineUrlTimeStatus@@YGJPAU_OFFLINE_URL_TIME_INFO@@@Z
0000CD80 0000CD8F ?SetOnlineUrlTime@@YGXPAU_OFFLINE_URL_TIME_INFO@@@Z
0000CD94 0000CE51 ?CreateAndAddOfflineUrlCacheEntry@@YGPAU_OFFLINE_URL_CACHE_ENTRY@@PAU_CRYPTOAPI_BLOB@@0PBDK@Z
0000CE56 0000CE8E ?RemoveAndFreeOfflineUrlCacheEntry@@YGXPAU_OFFLINE_URL_CACHE_ENTRY@@@Z
0000CE93 0000CEB8 _I_CryptIncrementFileTimeBySeconds@12
0000CEE2 0000CF1E ?SetOfflineUrlTime@@YGXPAU_OFFLINE_URL_TIME_INFO@@@Z
0000CF3D 0000CF9A ?SetOnlineOriginUrlW@@YGXQAEPBGPBDK@Z
0000CF9F 0000D016 ?SetOfflineOriginUrlW@@YGXQAEPBGPBDK@Z
0000D01B 0000D081 ?GetUrlStatusW@@YGJPBGPBDK@Z
0000D086 0000D0DE ?SetOnlineUrlW@@YGXPBGPBDK@Z
0000D0E3 0000D155 ?SetOfflineUrlW@@YGXPBGPBDK@Z
0000D15A 0000D208 ?CertGetOriginIdentifier@@YGHPBU_CERT_CONTEXT@@0KQAE@Z
0000D20D 0000D2C5 ?CtlGetOriginIdentifier@@YGHPBU_CTL_CONTEXT@@PBU_CERT_CONTEXT@@KQAE@Z
0000D2CA 0000D35F ?GrowArray@CCryptUrlArray@@AAEHXZ
0000D364 0000D386 ??_GCFileSynchronousRetriever@@QAEPAXI@Z
0000D38B 0000D399 ?CancelAsyncRetrieval@CFileSynchronousRetriever@@UAEHXZ
0000D39E 0000D533 _FileGetBindings@20
0000D578 0000D5AD _FileFreeBindings@4
0000D5B2 0000D5D6 _FileFreeCryptBlobArray@8
0000D5DB 0000D621 _FileIsUncUrl@4
0000D626 0000D64D _FileFreeEncodedObject@12
0000D652 0000D674 ?Release@CFileSynchronousRetriever@@UAEXXZ
0000D679 0000D724 _FileSendReceiveUrlRequest@8
0000D729 0000D780 _FileConvertMappedBindings@8
0000D785 0000D885 ?RetrieveObjectByUrl@CFileSynchronousRetriever@@UAEHPBGPBDKKPAPAXPAP6GX1PAU_CRYPT_BLOB_ARRAY@@PAX@Z24PAU_CRYPT_CREDENTIALS@@4PAU_CRYPT_RETRIEVE_AUX_INFO@@@Z
0000D88A 0000D901 _FileRetrieveEncodedObject@40
0000D906 0000D935 ?InetIsPossibleBadProxy@@YGHK@Z
0000D93A 0000D9C8 ?InetSetNextProxy@@YGHPAX0PAUWINHTTP_PROXY_INFO@@@Z
0000D9FE 0000DA04 __except_handler3
0000DA09 0000DA0F _wcscmp
0000DA14 0000DA1A __snprintf
0000DA1F 0000DA25 __vsnprintf
0000DA2A 0000DA30 _strrchr
0000DA35 0000DA3B __wtol
0000DA40 0000DA46 _wcschr
0000DA4B 0000DA51 _wcstok
0000DA56 0000DA5C __ltoa
0000DA61 0000DA67 _strncpy
0000DA6C 0000DA72 _printf
0000DA77 0000DA7D _wcsstr
0000DA82 0000DA88 _iswspace
0000DA8D 0000DA93 _CryptMsgGetAndVerifySigner@24
0000DA98 0000DA9E _CertFreeCTLContext@4
0000DAA3 0000DAA9 _CertAddCTLContextToStore@16
0000DAAE 0000DAB4 _CertFindSubjectInCTL@20
0000DAB9 0000DABF _CertDuplicateCTLContext@4
0000DAC4 0000DACA _CertFindCTLInStore@24
0000DACF 0000DAD5 _CertGetIssuerCertificateFromStore@16
