00028B62 00028BE5 _CryptUIWizQueryCertRequestNoDS@8
00028BEA 00028CEA ?getTemplateName@@YGJPBU_CERT_CONTEXT@@PAPAG@Z
00028D06 00028DC2 ?decodeTemplateOID@@YGJPAU_CERT_EXTENSION@@PAPADK@Z
00028DC7 00028E15 ?getTemplateOID@@YGJPBU_CERT_CONTEXT@@PAPAD@Z
00028E1A 00028E9A ?ContainsCertTemplateOid@@YGHPAU_CERT_EXTENSIONS@@PAG@Z
00028E9F 00028F7B pfnEnumOIDInfo
00028F80 00028FE5 _FreeCertCACertType@8
00028FEA 000290F5 _AddCertTypeToCertCA@60
000290FA 00029274 _CreateCertRequestNoSearchCANoDS@16
00029279 0002936F _SubmitCertRequestNoSearchCANoDS@20
00029374 0002941A _FreeCertRequestNoSearchCANoDS@4
0002941F 00029452 _CASupportSpecifiedCertType@4
00029457 0002962A ?I_EnrollMessageBox@@YGHPAUHWND__@@IJIPBGI@Z
00029639 00029954 ?GetCAContext@@YGPAU_CRYPTUI_CA_CONTEXT@@PAUHWND__@@PAU_CERT_WIZARD_INFO@@@Z
00029959 00029A54 ?ResetDefaultCA@@YGXPAU_CERT_WIZARD_INFO@@@Z
00029A59 00029E23 ?Enroll_Purpose@@YGHPAUHWND__@@IIJ@Z
00029E28 0002A184 ?Enroll_CA@@YGHPAUHWND__@@IIJ@Z
0002A189 0002A29E ?Renew_Welcome@@YGHPAUHWND__@@IIJ@Z
0002A2A3 0002A523 ?Renew_CA@@YGHPAUHWND__@@IIJ@Z
0002A528 0002A841 _CryptUIWizCreateCertRequestNoDS@16
0002A846 0002A8CB _CryptUIWizSubmitCertRequestNoDS@24
0002A8D0 0002A91D _CryptUIWizFreeCertRequestNoDS@4
0002A922 0002AAF9 _InitCertCAOID@12
0002AAFE 0002AF3D _InitCertCA@36
0002AF42 0002B733 _CryptUIWizCertRequestWithCAInfo@36
0002B738 0002B86D _CertRequestNoSearchCA@36
0002B872 0002BC25 _CertRequestSearchCA@32
0002BC2A 0002C15C _CryptUIWizCertRequest@24
0002C161 0002C446 ?CertPvkMatch@@YGHPAU_CERT_SIGNING_INFO@@H@Z
0002C465 0002C4EE ?FileExist@@YGHPAGPAI@Z
0002C4F3 0002C55B ?GetErrMsgFromSignHR@@YGIJ@Z
0002C560 0002C59E ?GetErrMsgFromTimeStampHR@@YGIJ@Z
0002C5A3 0002C705 ?ComposePvkString@@YGHPAU_CRYPT_KEY_PROV_INFO@@PAPAGPAK@Z
0002C70A 0002C837 ?SelectPvkFileName@@YGHPAUHWND__@@H@Z
0002C845 0002C892 _SelectComboName@12
0002C897 0002C94B _SetSelectPvkFile@4
0002C950 0002CA04 _SetSelectKeyContainer@4
0002CA09 0002CA9E _GetKeyTypeFromName@4
0002CAA3 0002CDA7 _RefreshKeyType@20
0002CDAC 0002CF40 _RefreshContainer@16
0002CF45 0002D019 _GetProviderTypeName@8
0002D01E 0002D0EA ?SetDefaultCSP@@YGHPAUHWND__@@@Z
0002D0EF 0002D36D ?InitCSP@@YGHPAUHWND__@@PAU_CERT_SIGNING_INFO@@@Z
0002D372 0002D405 ?SignGetStoreName@@YGHPAXPAPAG@Z
