00011FF6 000120B7 ?CleanUp@CCallingCard@@AAEXXZ
000120BC 000121B4 ?Initialize@CCallingCard@@QAEJKPAGK00000000@Z
000122E9 00012538 ?Initialize@CCallingCard@@QAEJK@Z
0001253D 0001286C ?SaveToRegistry@CCallingCard@@QAEJXZ
00012871 00012994 ?Validate@CCallingCard@@QAEKXZ
00012999 000129C1 ?GetCallingCard@CCallingCards@@QAEPAVCCallingCard@@K@Z
000129C6 00012AD5 ?SaveToRegistry@CCallingCards@@QAEJXZ
00012ADA 00012AF1 ?Reset@CCallingCards@@QAEJH@Z
00012AF6 00012B62 ?Next@CCallingCards@@QAEJKPAPAVCCallingCard@@PAK@Z
00012B67 00012B94 ?insert_after@?$ListNode@PAVCCallingCard@@@@QAEPAV1@PAVCCallingCard@@@Z
00012B99 00012BB2 ?remove@?$ListNode@PAVCCallingCard@@@@QAEXXZ
00012BB7 00012BFF ?deallocate@?$NodePool@PAVCCallingCard@@@@CGXPAV?$LinkedList@PAVCCallingCard@@@@@Z
00012C04 00012C1C ??1CCallingCard@@QAE@XZ
00012C21 00012C42 ??_GCCallingCard@@QAEPAXI@Z
00012C47 00013104 ?CreateFreshCards@CCallingCards@@AAEKXZ
000131B9 000131EE ?InternalDeleteCard@CCallingCards@@AAEXPAV?$ListNode@PAVCCallingCard@@@@@Z
000131F3 000131FC ??1?$LinkedList@PAVCCallingCard@@@@QAE@XZ
00013201 0001323A ??0CCallingCards@@QAE@XZ
0001323F 000132CE ??1CCallingCards@@QAE@XZ
000132D3 000135B7 ?Initialize@CCallingCards@@QAEJXZ
00013622 0001364F ?RemoveCard@CCallingCards@@QAEXPAVCCallingCard@@@Z
00013654 000136B0 ?VerifyProcExists@@YGHPAGPAD@Z
000136E0 00013756 ?SetupDriver@@YGHPAUHWND__@@0@Z
000137C4 00013A81 ?GetProviderFileDesc@@YGIPAG0H@Z
00013C69 00013D7D ?BuildInstalledProviderList@@YGXPAULIST_HEAD@@@Z
00013E43 00013EA3 ?AddProvider@@YGHPAUHWND__@@0PAG@Z
00013ECF 00014004 ?IsUserAdmin@@YGHXZ
00014009 0001411D ?RefreshProviderList@@YGHXZ
000141DF 00014233 ?ProviderIDToFilename@@YGPAGK@Z
0001425A 000143EE ?FillDriverList@@YGHPAUHWND__@@@Z
0001447F 00014541 ?UpdateDriverDlgButtons@@YGXPAUHWND__@@@Z
00014546 00014667 ?RemoveSelectedDriver@@YGHPAUHWND__@@0@Z
000146B7 000149B2 ?FillAddDriverList@@YGHPAUHWND__@@0@Z
00014A2B 00014B95 ?AddDriver_DialogProc@@YGHPAUHWND__@@IIJ@Z
00014BBD 00014CF8 ?TRACELogPrint@CAreaCodeRuleDialog@@QAAXKPBDZZ
00014D25 00014D3F ??0CAreaCodeRuleDialog@@QAE@HPAVCAreaCodeRule@@@Z
00014D46 00014D47 ??1CWaitForDialog@@QAE@XZ
00014D4C 00014DDD ?PopulatePrefixList@CAreaCodeRuleDialog@@IAEXPAUHWND__@@@Z
00014DE2 00014E9D ?SetPrefixControlsState@CAreaCodeRuleDialog@@IAEXPAUHWND__@@H@Z
00014EA2 000150FE ?OnInitDialog@CAreaCodeRuleDialog@@IAEHPAUHWND__@@@Z
00015103 000151E1 ?AddPrefix@CAreaCodeRuleDialog@@IAEXPAUHWND__@@@Z
000151E6 000152CA ?DeleteItemAndSelectPrevious@@YGHPAUHWND__@@HHHH@Z
000152CF 000152F4 ?IsEmptyOrHasOnlySpaces@@YGHPAG@Z
000152F9 0001537C ?OnNotify@CAreaCodeRuleDialog@@IAEHPAUHWND__@@PAUtagNMHDR@@@Z
00015381 000156A3 ?ApplyChanges@CAreaCodeRuleDialog@@IAEHPAUHWND__@@@Z
000156D4 00015704 ?RemoveSelectedPrefix@CAreaCodeRuleDialog@@IAEXPAUHWND__@@@Z
00015709 000157EB ?OnCommand@CAreaCodeRuleDialog@@IAEHPAUHWND__@@HH0@Z
000157F0 00015889 ?DialogProc@CAreaCodeRuleDialog@@KGHPAUHWND__@@IIJ@Z
00015915 00015935 ?DoModal@CAreaCodeRuleDialog@@QAEHPAUHWND__@@@Z
0001593A 00015A4A ?BuildRuleDescription@@YGXPAVCAreaCodeRule@@PAGI@Z
00015A4F 00015B14 ?BuildRuleText@@YGXPAVCAreaCodeRule@@PAGI@Z
00015B19 00015BC6 ?SetDataForSelectedRule@CLocationPropSheet@@IAEXPAUHWND__@@@Z
00015BCB 00015D53 ?AddRuleToList@CLocationPropSheet@@IAEXPAUHWND__@@PAVCAreaCodeRule@@H@Z
00015D58 00015DF2 ?RemoveRuleFromList@CLocationPropSheet@@IAEXPAUHWND__@@H@Z
00015DF7 00015E40 ?PopulateAreaCodeRuleList@CLocationPropSheet@@IAEXPAUHWND__@@@Z
00015E45 00015E66 ??_GCAreaCodeRule@@QAEPAXI@Z
00015E6B 00015F42 ?DeleteSelectedRule@CLocationPropSheet@@IAEXPAUHWND__@@@Z
00015F77 0001604F ?allocate@?$NodePool@PAVCAreaCodeRule@@@@CGPAV?$ListNode@PAVCAreaCodeRule@@@@XZ
00016054 0001619C ?AreaCode_OnInitDialog@CLocationPropSheet@@IAEHPAUHWND__@@@Z
000161A1 000161CE ?insert_after@?$ListNode@PAVCAreaCodeRule@@@@QAEPAV1@PAVCAreaCodeRule@@@Z
000161D3 000161F5 ?AddRule@CLocation@@QAEXPAVCAreaCodeRule@@@Z
000161FA 00016310 ?LaunchNewRuleDialog@CLocationPropSheet@@IAEXHPAUHWND__@@@Z
00016315 000163B2 ?AreaCode_OnNotify@CLocationPropSheet@@IAEHPAUHWND__@@PAUtagNMHDR@@@Z
000163B7 00016411 ?AreaCode_OnCommand@CLocationPropSheet@@IAEHPAUHWND__@@HH0@Z
00016416 000164B4 ?AreaCode_DialogProc@CLocationPropSheet@@KGHPAUHWND__@@IIJ@Z
000164FD 00016638 ?TRACELogPrint@CCallingCardPropSheet@@QAAXKPBDZZ
00016669 00016808 ?StringCopyExWorkerW@@YGJPAGIIPBGPAPAGPAIK@Z
0001680D 00016846 ?StringLengthWorkerW@@YGJPBGIPAI@Z
0001684B 000168B6 ??0CCallingCardPropSheet@@QAE@HHPAVCCallingCard@@PAVCCallingCards@@@Z
000168BB 00016A36 ?SetTextForRules@CCallingCardPropSheet@@IAEXPAUHWND__@@@Z
00016A3B 00016A84 ?General_OnCommand@CCallingCardPropSheet@@IAEHPAUHWND__@@HH0@Z
00016A89 00016E83 ?Gerneral_OnApply@CCallingCardPropSheet@@IAEHPAUHWND__@@@Z
00016EA5 00016F27 ?SetButtonStates@CCallingCardPropSheet@@IAEXPAUHWND__@@H@Z
00016F2C 00016F9B ?OnNotify@CCallingCardPropSheet@@IAEHPAUHWND__@@PAUtagNMHDR@@H@Z
00016FAE 00017019 ?OnDestroy@CCallingCardPropSheet@@IAEHPAUHWND__@@@Z
0001701E 00017043 ?HasOnlyCommasW@@YGHPAG@Z
00017048 000171E7 ?StringCatExWorkerW@@YGJPAGIIPBGPAPAGPAIK@Z
000171EC 0001731F ?General_OnInitDialog@CCallingCardPropSheet@@IAEHPAUHWND__@@@Z
00017324 0001736C ?General_OnNotify@CCallingCardPropSheet@@IAEHPAUHWND__@@PAUtagNMHDR@@@Z
00017371 000175BD ?GetDescriptionForRule@@YGXPAG0I@Z
000175C9 000177B5 ?PopulateStepList@@YGXPAUHWND__@@PAG@Z
0001788F 00017A35 ?OnInitDialog@CCallingCardPropSheet@@IAEHPAUHWND__@@H@Z
00017A7B 00018009 ?OnCommand@CCallingCardPropSheet@@IAEHPAUHWND__@@HH0H@Z
00018069 0001810A ?General_DialogProc@CCallingCardPropSheet@@KGHPAUHWND__@@IIJ@Z
00018165 000183AA ?UpdateRule@CCallingCardPropSheet@@IAEHPAUHWND__@@H@Z
000183F1 00018508 ?DialogProc@CCallingCardPropSheet@@KGHPAUHWND__@@IIJ@Z
00018645 0001876F ?DoPropSheet@CCallingCardPropSheet@@QAEJPAUHWND__@@@Z
00018774 000188AF ?TRACELogPrint@CLocationPropSheet@@QAAXKPBDZZ
000188DB 00018908 ?CallingCard_ListSort@@YGHJJJ@Z
0001890D 00018978 ?SetCheck@CLocationPropSheet@@IAEXPAUHWND__@@PAVCCallingCard@@H@Z
0001897D 000189C0 ?EnsureVisible@CLocationPropSheet@@IAEXPAUHWND__@@PAVCCallingCard@@@Z
000189C5 00018A77 ?UpdateCardInList@CLocationPropSheet@@IAEXPAUHWND__@@PAVCCallingCard@@@Z
00018A7C 00018CFE ?SetDataForSelectedCard@CLocationPropSheet@@IAEXPAUHWND__@@@Z
00018D03 00018F50 ?CallingCard_OnApply@CLocationPropSheet@@IAEHPAUHWND__@@@Z
00018FB4 00019096 ?DeleteItemAndSelectFirst@@YGHPAUHWND__@@HHHH@Z
0001909B 00019232 ?DeleteSelectedCard@CLocationPropSheet@@IAEXPAUHWND__@@@Z
00019289 00019388 ?AddCardToList@CLocationPropSheet@@IAEXPAUHWND__@@PAVCCallingCard@@H@Z
0001938D 000193A7 ?AddCard@CCallingCards@@QAEXPAVCCallingCard@@@Z
000193AC 00019484 ?PopulateCardList@CLocationPropSheet@@IAEXPAUHWND__@@@Z
00019489 0001966C ?LaunchCallingCardPropSheet@CLocationPropSheet@@IAEXHPAUHWND__@@@Z
00019671 000197F1 ?CallingCard_OnNotify@CLocationPropSheet@@IAEHPAUHWND__@@PAUtagNMHDR@@@Z
000197F6 000198DD ?CallingCard_OnInitDialog@CLocationPropSheet@@IAEHPAUHWND__@@@Z
000198E2 0001996E ?CallingCard_OnCommand@CLocationPropSheet@@IAEHPAUHWND__@@HH0@Z
00019973 00019A14 ?CallingCard_DialogProc@CLocationPropSheet@@KGHPAUHWND__@@IIJ@Z
00019A7D 00019BB8 ?TRACELogPrint@CDialingRulesPropSheet@@QAAXKPBDZZ
00019BEB 00019C2E ??0CDialingRulesPropSheet@@QAE@PBGK@Z
