0000AC11 0000AC4D ?QueryInterface@DOMNode@@UAGJABU_GUID@@PAPAX@Z
0000AD60 0000AD76 ?create@Atom@@SGPAV1@PBGH@Z
0000AD7B 0000ADED ?createAtom@NamespaceMgr@@AAEPAVAtom@@PAVString@@PBGH@Z
0000ADF2 0000ADF6 ?getLocale@SortKeyContext@@UAEKXZ
0000AE18 0000AE78 ?notifyNew@Node@@QAEXPAV1@_N1PAVDTDDecl@@@Z
0000AE7D 0000AEC5 ??0NameDef@@QAE@PAVName@@PAVAtom@@1@Z
0000AF8E 0000AFA7 ?AddPointerToCache@@YGXPAX@Z
0000AFA7 0000AFCE __ftol
0000B04F 0000B061 ?newStringHashtable@StringHashtable@@SGPAV1@HK@Z
0000B066 0000B0B9 ?fastcmpi@@YGHPBG0@Z
0000B0C3 0000B0FE ?FindEntry@@YGHPBGHP6GPAGH@Z@Z
0000B107 0000B10F ?findEmptySlot@Hashtable@@IAEXXZ
0000B10F 0000B110 nullsub_15
0000B160 0000B175 ?LeaveRead@DocumentLock@@QAEXXZ
0000B17A 0000B18D ??1OMReadLock@@QAE@XZ
0000B192 0000B1CA ?EnterRead@DocumentLock@@QAEXPAUTLSDATA@@PAVDocument@@@Z
0000B1CF 0000B219 ?EnterRead@DocumentLock@@QAEXPAUTLSDATA@@PAVElement@@@Z
0000B21E 0000B251 ??0OMReadLock@@QAE@PAUTLSDATA@@PAVDOMNode@@@Z
0000B256 0000B2FB ?get_parentNode@DOMNode@@UAGJPAPAUIXMLDOMNode@@@Z
0000B311 0000B343 ?getUnknown@Variant@@SGPAUIUnknown@@PAUtagVARIANT@@_N@Z
0000B34C 0000B371 ?Variant2Node@Node@@SGPAV1@PAUtagVARIANT@@@Z
0000B3AA 0000B407 ?getFirstNode@Node@@QAEPAV1@PAPAX@Z
0000B40C 0000B43D ?getNodeFirstChild@Node@@QAEPAV1@PAPAX@Z
0000B442 0000B484 ?getFirstChild@Node@@UAEPAVElement@@PAPAX@Z
0000B489 0000B497 ?_getText@Node@@UAEPAVString@@XZ
0000B49C 0000B54F ?visitNodeTextHelper@Node@@AAEXPAVTextVisitor@@PAUTextContext@2@@Z
0000B554 0000B565 @__security_check_cookie@4
0000B565 0000B566 nullsub_6
0000B56B 0000B5E7 ?getCharsetInfo@CharEncoder@@SGHPBGPAI1@Z
0000BB21 0000BBEA ?_insert@Node@@QAEXPAV1@0@Z
0000BBEF 0000BC01 ?elementAt@Vector@@QAEPAVObject@@H@Z
0000BC27 0000BC3F ?popScope@NamespaceMgr@@QAEXPAX@Z
0000BC5F 0000BC76 ?init@Vector@@IAEXHH@Z
0000BC91 0000BCA7 ?reset@NamespaceMgr@@QAEXXZ
0000BCBC 0000BCD1 ?newShareMutex@ShareMutex@@SGPAV1@XZ
0000BCD6 0000BD11 ??0ShareMutex@@QAE@XZ
0000BD11 0000BD12 nullsub_10
0000BD17 0000BD90 ?init@Document@@MAEXXZ
0000BD95 0000BDA7 ?newHashtable@Hashtable@@SGPAV1@IK@Z
0000BDAC 0000BDC4 ??0Hashtable@@IAE@XZ
0000BDDF 0000BDFC ?init@Hashtable@@IAEXIK@Z
0000BE05 0000BE0A ??_EDOMChildList@@WM@AEPAXI@Z
0000BE0F 0000BE3D ??_GDOMChildList@@UAEPAXI@Z
0000BE42 0000BE5C ??4?$_reference@UIMoniker@@@@QAEAAV0@ABV0@@Z
0000BE61 0000BE81 ?init@NodeIteratorState@@QAEXXZ
0000BE86 0000BEBE ??0DOMNodeList@@QAE@PAVNode@@@Z
0000BEC3 0000BF0D ??0DOMNamedNodeMapList@@QAE@PAVNode@@W4NodeType@Element@@@Z
0000BFC5 0000C05D ?get_attributes@DOMNode@@UAGJPAPAUIXMLDOMNamedNodeMap@@@Z
0000C07D 0000C098 ??0?$_unknown@UIStream@@$1?IID_IStream@@3U_GUID@@B@@QAE@XZ
0000C09D 0000C0B7 ??0__unknown@@QAE@PBU_GUID@@@Z
0000C0BC 0000C0DF ??0?$_dispatch@UIXMLDOMNamedNodeMap@@$1?LIBID_MSXML2@@3U_GUID@@B$1?IID_IXMLDOMNamedNodeMap@@3U3@B@@QAE@XZ
0000C0E4 0000C0F2 ?setReplFactory@Attributes@@QAEXPAVReplFactory@@@Z
0000C0F7 0000C146 ??0DOMNode@@QAE@PAVNode@@@Z
0000C14B 0000C173 ??0NamespaceMgr@@IAE@_N@Z
0000C178 0000C196 ??0?$_reference@VVector@@@@QAE@PAVVector@@@Z
0000C19B 0000C1CF ??0__comexport@@QAE@PBU_GUID@@PAVObject@@@Z
0000C1D4 0000C1E0 ?model@_xunknown@@QAE?AW4RentalEnum@@XZ
0000C1E5 0000C20C ??0?$_dispatchexport@VDocument@@UIXMLDOMDocument2@@$1?LIBID_MSXML2@@3U_GUID@@B$00$1?IID_IXMLDOMDocument2@@3U4@B@@QAE@PAVDocument@@@Z
0000C211 0000C269 ??0DOMDocumentWrapper@@QAE@PAVDocument@@@Z
0000C28C 0000C2B7 ?isNameSpaceDecl@NamespaceMgr@@SG_NPBGH@Z
0000C2C9 0000C2E2 ??1NodeIteratorState@@QAE@XZ
0000C2E7 0000C308 ??1DOMNodeList@@MAE@XZ
0000C31C 0000C331 ?getNodeNextAttribute@Node@@QAEPAV1@PAPAX@Z
0000C336 0000C36A ?testForNormalizeNewlines@@YG_NPBG_N@Z
0000C36F 0000C3CD ?toString@BaseTextAppendVisitor@@UAEPAVString@@_N0@Z
0000C3D2 0000C40E ?getInnerTextStrip@Node@@QAEPAVString@@_N@Z
0000C42D 0000C488 ?visitNodeText@Node@@QAEXPAVTextVisitor@@@Z
0000C48D 0000C494 ?visitRoot@BaseTextAppendVisitor@@UAEXPAUTextContext@TextVisitor@@PAVElement@@@Z
0000C499 0000C4F4 ?getNextChild@Node@@UAEPAVElement@@PAPAX@Z
0000C4F9 0000C504 ?checkFinished@Node@@QAEXXZ
0000C509 0000C544 ?getText@Node@@UAEPAVString@@W4TextWhiteSpaceEnum@Element@@_N@Z
0000C551 0000C618 ___xsbh_alloc_block
0000C61D 0000C642 ?isWhitespace@XmlCharacter@@SGHG@Z
0000C647 0000C698 ?trim@String@@QAEPAV1@XZ
0000C69D 0000C6CD ?_appendText@BaseTextAppendVisitor@@IAEXPAVString@@W4WSMODE@WSStringBuffer@@@Z
0000C6D2 0000C6E5 ?visitPCData@DOMTrimVisitor@@UAEXPAUTextContext@TextVisitor@@PAVString@@@Z
0000C6EA 0000C6FF ?newApartmentMutex@ApartmentMutex@@SGPAV1@XZ
0000C704 0000C717 ??0ApartmentMutex@@IAE@XZ
0000C717 0000C718 nullsub_11
0000C71D 0000C744 ?setDOM@Document@@QAEX_N@Z
0000C749 0000C7AF ?_createDOMDocument@@YGJABU_GUID@@PAPAXI@Z
0000C7C1 0000C80D ?QueryInterface@Document@@UAGJABU_GUID@@PAPAX@Z
0000C812 0000C82C ??0COMSafeControlRoot@@IAE@XZ
0000C831 0000C939 ??0Document@@IAE@XZ
0000C93E 0000C972 ?newDocument@Document@@SGPAV1@XZ
0000C995 0000C9B7 ??0NonGCBase@@QAE@XZ
0000C9BC 0000C9D1 ??0NonGCGenericBase@@IAE@XZ
0000C9D6 0000CA21 ?ClassFactory_CreateInstance@@YGJPAUClassFactory@@PAUIUnknown@@ABU_GUID@@PAPAX@Z
0000CA26 0000CA70 ?CreateDOMDocumentVI@@YGJABU_GUID@@PAPAX@Z
0000CA81 0000CA83 ?weakAddRef@Processor@@UAEXXZ
0000CA88 0000CAA0 ?_weakAddRef@GenericBase@@QAEXXZ
0000CAA5 0000CAC0 ??0GenericBase@@IAE@XZ
0000CAC5 0000CAE9 ??0Action@@IAE@PAVElement@@@Z
0000CAEE 0000CB20 ??0ContainerAction@@IAE@PAV0@PAVElement@@@Z
0000CB25 0000CB3A ?ensureCapacity@Vector@@QAEXH@Z
0000CB3F 0000CB66 ?addElement@Vector@@QAEXPAVObject@@@Z
0000CB6B 0000CB86 ?_set@Vector@@MAEXHPAVObject@@@Z
0000D01C 0000D034 ?hashCode@String@@QBEII@Z
0000D039 0000D0A4 ?_get@Hashtable@@IAE_NPAVObject@@PAPAUIUnknown@@@Z
0000D0D0 0000D0FB ?testNotify@Node@@QBE_NXZ
0000D100 0000D126 ?registerNonReentrant@Document@@QAEKXZ
0000D12B 0000D1C6 ?add@LookasideCache@@QAEJK@Z
0000D1CB 0000D1F5 ?setInnerText@Node@@QAEXPBGH_N@Z
0000D1FA 0000D20E ?newString@String@@SGPAV1@PBGH@Z
