00025A65 00025AC7 _SetupDiCreateDeviceInfoListExA@16
00025ACC 00025B58 _SetupDiGetDeviceInfoListClass@8
00025B69 00025C50 _SetupDiGetDeviceInfoListDetailW@8
00025C61 00025F4E _SetupDiCreateDeviceInfoW@28
00025F79 00026115 _SetupDiSetDeviceInterfaceDefault@16
00026129 00026218 _SetupDiDeleteDeviceInfo@8
00026229 00026300 _pSetupDupDevCompare@16
00026305 0002656E _SetupDiCreateDeviceInterfaceW@24
0002658D 00026780 _SetupDiRemoveDeviceInterface@8
00026791 0002683B _pSetupDiGetOrSetDeviceInfoContext@16
00026851 000268B9 _SetupDiGetDeviceInfoListDetailA@8
000268BE 00026947 _SetupDiCreateDeviceInfoA@28
0002694C 0002699E _SetupDiOpenDeviceInfoA@20
000269A3 00026A37 _SetupDiGetClassDevsExA@28
00026A3C 00026F64 _SetupDiRegisterDeviceInfo@24
00026F85 00026FCB _SetupDiOpenDeviceInterfaceA@16
00026FD0 00027036 _SetupDiCreateDeviceInterfaceA@24
0002703B 00027054 _pSetupDiSetDeviceInfoContext@12
00027059 00027084 _pSetupDiGetDeviceInfoContext@12
00027089 000270C7 _FilterLevelOnInstallerError@8
000270CC 000278B4 _SetupDiInstallClassExW@28
000278E9 0002793D _SetupDiInstallClassA@16
00027942 00027961 _SetupDiInstallClassW@16
00027966 00027AC9 _SetupDiGetHwProfileFriendlyNameExW@24
00027AE1 00027C76 _SetupDiGetHwProfileListExW@24
00027C89 00028043 _pSetupDiGetCoInstallerList@20
000280E5 00028197 _SetupDiGetDeviceInstallParamsW@12
000281A9 00028263 _SetupDiGetClassInstallParamsW@20
00028279 00028331 __SetupDiSetDeviceInstallParams@16
00028349 000283A1 _SetupDiSetDeviceInstallParamsA@12
000283A6 000283BF _SetupDiSetDeviceInstallParamsW@12
000283C4 0002847C _SetupDiSetClassInstallParamsW@16
00028491 00028B25 __SetupDiCallClassInstaller@16
00029379 000293E4 _SetupDiInstallClassExA@28
000293E9 00029407 _SetupDiGetHwProfileFriendlyNameW@16
0002940C 00029550 _SetupDiGetHwProfileFriendlyNameExA@24
00029561 0002957F _SetupDiGetHwProfileList@16
00029584 000295EA _SetupDiGetHwProfileListExA@24
000295EF 0002965B _SetupDiGetDeviceInstallParamsA@12
00029660 00029826 _SetupDiGetClassInstallParamsA@20
00029839 00029951 _SetupDiSetClassInstallParamsA@16
00029969 00029982 _SetupDiCallClassInstaller@12
00029987 000299A5 _SetupDiGetHwProfileFriendlyNameA@16
000299AA 000299E4 __WriteVetoLogEntry@24
000299E9 00029A0A __MapCmProbToString@4
00029A0F 00029A30 __MapCmRetToString@4
00029A35 0002A66E _GetNewInfName@72
0002A6B9 0002A762 _AssociateDevInstWithDefaultService@12
0002A79D 0002AB6C _DeleteServicesInList@8
0002AB71 0002ABEB _IsDevRemovedFromAllHwProfiles@8
0002ABF0 0002AC24 _GetDevInstConfigFlags@12
0002AC29 0002AD26 _pSetupDeleteService@12
0002AD2B 0002ADFE _IsNativeDriver@4
0002AE11 0002AE81 _pSetupRetrieveServiceConfig@8
0002AE86 0002B04D _pSetupAddTagToGroupOrderListEntry@12
0002B0B5 0002B15B _pSetupCmdLineAppendString@20
0002B167 0002B353 _DoServiceModsForLegacyInf@4
0002B3CD 0002B64B _SetupDiGetActualSectionToInstallExW@32
0002B661 0002B721 _pSetupGetSourceMediaTypeFromPnf@8
0002B726 0002BD42 __SetupCopyOEMInf@80
0002BD59 0002BE5E _SetupUninstallOEMInfW@12
0002BE71 0002C3B7 _SetupDiSelectBestCompatDrv@8
0002C3BC 0002C5A8 _RetrieveAllDevNodesSharingDriversWithDevice@20
0002C5B9 0002C77F _AnyServicesLoaded@12
0002C7A1 0002C87E _AppendLoadIncludedInfs@16
0002C895 0002CA09 _InstallFromInfSectionAndNeededSections@48
0002CA0E 0002CAA0 _SetDevnodeNeedsRebootProblemWithArg2@20
0002CAA5 0002CE33 _MarkQueueForDeviceInstall@12
0002CE49 0002D356 _SetupDiRemoveDevice@8
0002D369 0002D5F9 _InstallHW@20
0002D61D 0002D6CF _CheckIfDevStarted@8
0002D6D4 0002E422 _pSetupAddService@24
0002E549 0002EADC _pSetupRunLegacyInf@24
0002EC69 0002EC8D _SetupDiGetActualSectionToInstallW@24
0002EC92 0002EE8B _SetupDiGetActualSectionToInstallExA@32
0002EEAD 0002FB92 __SetupDiInstallInterfaceDevices@20
0002FBDD 00030056 _SetupCopyOEMInfA@32
