0000E252 0000E258 _wcscpy
0000E25D 0000E263 _wcscat
0000E268 0000E27F ?FindPropElement@@YGPAU_PROP_ELEMENT@@PAU_CONTEXT_ELEMENT@@K@Z
0000E284 0000E2A0 ?FindPropElement@@YGPAU_PROP_ELEMENT@@PAU1@K@Z
0000E2AA 0000E2F6 ?ILS_BytesToWStr@@YGXKPAXPAG@Z
0000E444 0000E51B ?GetProperty@@YGHPAU_CONTEXT_ELEMENT@@KPAXPAK@Z
0000E520 0000E596 ?AutoResyncStore@@YGXPAU_CERT_STORE@@@Z
0000E59B 0000E5B4 ?CheckAutoResyncAndFindElementInStore@@YGPAU_CONTEXT_ELEMENT@@PAU_CERT_STORE@@KPBU_CERT_STORE_PROV_FIND_INFO@@PAU1@@Z
0000E5B4 0000E5DA ?FindElementInStore@@YGPAU_CONTEXT_ELEMENT@@PAU_CERT_STORE@@KPBU_CERT_STORE_PROV_FIND_INFO@@PAU1@@Z
0000E5DF 0000E6E1 ?FindElementInCacheStore@@YGPAU_CONTEXT_ELEMENT@@PAU_CERT_STORE@@KPBU_CERT_STORE_PROV_FIND_INFO@@PAU1@H@Z
0000E6E6 0000E723 ?ReleaseContextElement@@YGXPAU_CONTEXT_ELEMENT@@@Z
0000E73A 0000E89A ?LoadStoreElement@@YGKPAXP6GH00K@ZP6GH0K@ZKPAU_CERT_STORE@@KKPAKPAPBXH@Z
0000E89F 0000E8E1 ?AddElementToStore@@YGHPAU_CERT_STORE@@PAU_CONTEXT_ELEMENT@@KPAPAU2@@Z
0000E8E6 0000E9A9 ?AddElementToCacheStore@@YGHPAU_CERT_STORE@@PAU_CONTEXT_ELEMENT@@KPAPAU2@@Z
0000E9AE 0000E9D7 ?AddRefContextElement@@YGXPAU_CONTEXT_ELEMENT@@@Z
0000E9E9 0000EA47 ?FindShareElement@@YGPAU_SHARE_ELEMENT@@PAEK@Z
0000EA4C 0000EA72 ?AdjustEncodedLength@@YGKKPBEK@Z
0000EA77 0000EAAB _Asn1UtilAdjustEncodedLength@8
0000EAB0 0000EB1E _Asn1UtilExtractContentEx@20
0000EB23 0000EB87 _Asn1UtilDecodeLength@12
0000EBAD 0000ECDA _Asn1UtilExtractValues@24
0000EDF8 0000EEA5 ?Asn1X509GetExtensions@@YGXPAUExtensions@@KPAKPAPAU_CERT_EXTENSION@@PAPAEPAJ@Z
0000EEAA 0000EED3 ?HasBackslash@@YGHPBG@Z
0000EEEE 0000F066 ?ParseSystemStorePara@@YGHPBXKKPAU_SYSTEM_NAME_INFO@@@Z
0000F06B 0000F14D ?I_CertDllOpenSystemStoreProvW@@YGHPBDKKKPBXPAXPAU_CERT_STORE_PROV_INFO@@@Z
0000F152 0000F17E ?FreeSystemNameInfo@@YGXPAU_SYSTEM_NAME_INFO@@@Z
0000F197 0000F27C ?FormatSystemNamePath@@YGPAGKQAU_SYSTEM_NAME_GROUP@@@Z
0000F2CD 0000F414 ?SetProperty@@YGHPAU_CONTEXT_ELEMENT@@KKPBXH@Z
0000F449 0000F4AD ?OpenSubKey@@YGPAUHKEY__@@PAU1@PBGK@Z
0000F5BF 0000F81B ?EnumPhysicalStore@@YGHPBXKPAXP6GH0KPBGPAU_CERT_PHYSICAL_STORE_INFO@@11@Z@Z
0000F85B 0000F8A9 ?OpenSystemRegPathKey@@YGPAUHKEY__@@PAU_SYSTEM_NAME_INFO@@PBGK@Z
0000F8AE 0000F9CA ?ChainGetSubjectNameConstraintsInfo@@YGXPBU_CERT_CONTEXT@@PAU_CHAIN_SUBJECT_NAME_CONSTRAINTS_INFO@@@Z
0000F9E6 0000FA1B _CertFindExtension@12
0000FA39 0000FB39 ?FormatSystemRegPath@@YGPAGPAU_SYSTEM_NAME_INFO@@PBGKPAPAUHKEY__@@@Z
0000FB3E 0000FBB6 _I_CryptGetEncodedOID@20
0000FBE0 0000FC89 _CertAddStoreToCollection@16
0000FCBC 0000FDBC ?OpenPhysicalStoreCallback@@YGHPBXKPBGPAU_CERT_PHYSICAL_STORE_INFO@@PAX3@Z
0000FDF6 0000FE90 _PkiAsn1AllocStructInfoEx@24
0000FE95 0000FEB8 _PkiGetDecodeAllocFunction@4
0000FF81 0000FFFC ?OpenFromRegistry@@YGHPAXPAUHKEY__@@K@Z
00010001 00010091 ?OpenKeysFromRegistry@@YGHPAXPAUHKEY__@@K@Z
00010096 0001011D ?ReadKeyFromRegistry@@YGHPAUHKEY__@@QBGPAXKK@Z
00010122 00010130 _CertPerfIncrementRegElementReadCount@0
00010135 000101B3 ?Asn1X509GetCtlUsage@@YGXPAUEnhancedKeyUsage@@KPAU_CTL_USAGE@@PAPAEPAJ@Z
000101B8 000101DF ?Asn1X509CtlUsageDecodeEx@@YGHKPBDPBEKKPAU_CRYPT_DECODE_PARA@@PAXPAK@Z
000101E4 00010228 ?Asn1X509CtlUsageDecodeExCallback@@YGHPAXKPAU_CRYPT_DECODE_PARA@@0PAJ@Z
00010250 0001026A ?IsHKCUStore@@YGHPBGPAU_SYSTEM_NAME_INFO@@K@Z
0001050F 0001056A _CryptFindOIDInfo@12
000105F8 00010635 _RegCreateHKCUKeyExU@36
00010723 000108A6 ?I_CertDllOpenRegStoreProv@@YGHPBDKKKPBXPAXPAU_CERT_STORE_PROV_INFO@@@Z
000108AB 00010A89 ?I_CertDllOpenSystemRegistryStoreProvW@@YGHPBDKKKPBXPAXPAU_CERT_STORE_PROV_INFO@@@Z
00010CA9 00010D1C ?CompareCertElement@@YGHPAU_CONTEXT_ELEMENT@@PBU_CERT_STORE_PROV_FIND_INFO@@H@Z
00011611 0001168D ?ReadKeyElementFromRegistry@@YGHPAUHKEY__@@QBGKPAPAEPAK@Z
00011692 00011726 ?ILS_ReadBINARYValueFromRegistry@@YGHPAUHKEY__@@PBGPAPAEPAK@Z
0001172B 00011765 _RegQueryValueExU@24
0001176A 000117B2 _Asn1UtilExtractCertificateToBeSignedContent@16
000117E1 00011892 ?CreateStoreElement@@YGPAU_CONTEXT_ELEMENT@@PAXP6GH00K@ZP6GH0K@ZPAU_CERT_STORE@@KKKPAE@Z
000118A9 0001192D ?CreateCertElement@@YGPAU_CONTEXT_ELEMENT@@PAU_CERT_STORE@@KPAEKPAU_SHARE_ELEMENT@@@Z
00011992 00011F49 _CertCreateSelfSignCertificate@32
00011F5F 00011F7F _CertFreeCertificateContext@4
00011F84 00011FBF ?AllocAndDecodeObject@@YGPAXKPBDPBEKK@Z
00011FC4 00012036 _CryptDecodeObjectEx@32
00012061 000120CA ?EnableAutoResync@@YGHPAU_CERT_STORE@@@Z
000120CF 0001211F _CertControlStore@16
00012124 0001216F ?CreateStoreLink@@YGPAU_CERT_STORE_LINK@@PAU_CERT_STORE@@0KK@Z
00012174 0001218E _CertDuplicateStore@4
