00021276 00021295 _WriteBinary@16
0002129A 000212B8 _WriteGuid@12
000212BD 000212E0 _OpenServicesRoot@4
00021329 0002134A _OpenWinsockRoot@8
00021361 000213B3 _ReadNewProviderList@8
000213CF 000213E8 _ReadOldProviderList@8
000213ED 00021406 _ReadKnownStaticProviderList@8
0002140B 0002145B _ReadProviderId@12
00021460 000215C0 _CreateDefaultSetupMigrationTree@16
000215C5 000216CA _RecursivelyDeleteRegistryTree@8
000216CF 0002172E _RemoveProviderByName@8
00021733 000217C4 _ReadProtocolDataFromRegistry@16
000217C9 00021882 _ReadProviderSupportedProtocolsFromRegistry@8
00021887 000218A5 _MapProtocolInfoToSelfRelative@8
000218AA 000218C8 _MapProtocolInfoToAbsolute@8
000218CD 000219B3 _BuildNewProtocolName@12
00021A43 00021ACD _CreateMigrationRegistryForProvider@24
00021AD2 00021B48 _RemoveAllInstalledProviders@4
00021B4D 00021C25 _AppendStringToMultiSz@8
00021C2A 00021C41 _SanitizeWinsock2ConfigForProvider@4
00021C46 00021CF6 _DetermineGuidForProvider@16
00021D21 00021DB6 _ReadWs2Catalog@8
00021DBB 00021FD4 _UpdateMsafdToMswsock@12
00021FD9 0002216A _OpenSetupMigrationRoot@16
0002216F 000223A7 _ReadProtocolDataFromProvider@24
000223FD 000227AC _BuildWinsock2ProtocolList@24
00022825 00022942 _InstallNewProvider@32
00022947 0002307C _MigrateWinsockConfiguration@12
00023081 00023141 _ReadPriorities@0
0002324D 00023399 _TcpipLocalSetService@16
0002339E 00023685 _GuidToPort@16
0002370B 0002376B _CopyToAliasBuffer@16
00023770 0002388A _CacheHostent@8
0002388F 00023965 _QueryHostentCache@8
0002396A 000239EF _ServiceCsaddr@16
000239F4 00023B3F _HostentToCsaddr@32
00023B44 00023DDB _TcpipLocalGetAddressByName@36
00023DE0 00023E6F _TcpipHostsGetAddressByName@36
00023E74 00023F09 _TcpipDnsGetAddressByName@36
00023F0E 00024020 _TcpipNetbtGetAddressByName@36
00024025 00024137 _NPLoadNameSpaces@12
0002413C 00024194 _WSARecvEx@16
00024199 0002460B _s_perror@8
0002483C 0002488B _MSWSOCK_SockThreadInitialize@0
00024890 000248FF _MSWSOCK_SockEnterApi@12
00024904 00024A1A _GetProviderList@8
00024A3D 00024A74 _InsertNameSpace@4
00024A79 00024BE9 _ReadDefaultExclusions@0
00024C15 00024C3D _IsValidNameSpace@8
00024C42 00024CB2 _GuidEqual@8
00024CB7 00024F95 _LoadNspDll@4
00024FFB 00025093 _InitializeNsp@0
00025098 00025343 _WSA_perror@8
00025454 000256D5 ?CleanupService@@YGXXZ
000256DA 0002578E ?ShutdownService@@YGJXZ
00025793 000257EB ?ServiceHandler@@YGXK@Z
000257F0 000258D2 ?AttemptStartNLAService@@YGHXZ
000258D7 000259A0 ?CleanupLPCConnection@@YGXXZ
000259A5 000259BB ?NspApcCallback@@YGXPAX00@Z
000259C0 00025ABF ?WSM_NSPLookupServiceEndInternal@@YGXPAU_WSM_QUERY_HANDLE@@@Z
00025AC4 00025B2A ?WSM_NSPLookupServiceEnd@@YGHPAX@Z
00025B2F 00025D81 ?WSM_NSPSetService@@YGHPAU_GUID@@PAU_WSAServiceClassInfoW@@PAU_WSAQuerySetW@@W4_WSAESETSERVICEOP@@K@Z
00025D99 00025E3E ?WSM_NSPGetServiceClassInfo@@YGHPAU_GUID@@PAKPAU_WSAServiceClassInfoW@@@Z
00025E51 00025EF1 ?WSM_NSPInstallServiceClass@@YGHPAU_GUID@@PAU_WSAServiceClassInfoW@@@Z
00025F09 00025FBA ?WSM_NSPRemoveServiceClass@@YGHPAU_GUID@@0@Z
00025FD1 000260B2 ?LpcHandleSlowDataMappingHandleRequest@@YGXPAU_NLA_WORK_ITEM@@@Z
000260B7 00026184 ?LpcHandleTaskAllocationFailure@@YGXPAXPAU_NLA_WORK_ITEM@@@Z
00026189 00026252 ?LpcHandlePrivateConnectionRequest@@YGXPAU_NLA_WORK_ITEM@@@Z
00026257 00026453 ?LpcHandlePrivateRequest@@YGXPAU_NLA_WORK_ITEM@@@Z
00026458 00026499 ?LpcHandlePrivateDatagram@@YGXPAU_NLA_WORK_ITEM@@@Z
0002649E 0002654F ?LpcHandlePrivateMessage@@YGKPAU_NLA_WORK_ITEM@@@Z
00026554 00026642 ?LpcHandlePrivatePort@@YGXXZ
00026647 00026687 ?LogEvent@@YGXGKG@Z
00026691 000266C0 ?invert@@YGKI@Z
000266C5 0002680D ?NLACheckDNS@@YG_NPAU_IP_ADAPTER_INFO@@PADG@Z
00026812 0002690B ?NLACheckAdhoc@@YG_NPAU_IP_ADAPTER_INFO@@@Z
00026910 000269AA ?NLACheckManaged@@YG_NPAU_IP_ADAPTER_INFO@@@Z
000269BD 00026AEC ?NLACheckInternet@@YG?AW4_NLA_INTERNET@@AAK@Z
00026B4A 00026B75 ?NLAInterfaceType@@YG?AW4_NLA_CONNECTIVITY_TYPE@@PAU_IP_ADAPTER_INFO@@@Z
00026B7A 00026CD7 ?GetICSBlob@@YGPAU_NLA_BLOB@@PAPAGH@Z
00026D0D 000271A9 ?UpdateAddrsSlow@@YG_NXZ
000271AE 000271B4 _isdigit
000271B9 000271BF __write
000271C4 000271CA _rewind
000271CF 000271D5 _fclose
000271DA 000271E0 _fgets
000271E5 000271EB _fopen
000271F0 000271F6 __except_handler3
000271FB 00027201 _strtoul
00027206 0002720C _memmove
00027211 00027217 __wcsicmp
0002721C 00027222 __stricmp
00027227 0002722D _atoi
00027232 00027238 __strnicmp
0002723D 00027243 _strpbrk
00027248 0002724E _strlen
00027253 00027259 _strcpy
0002725E 00027264 _wcsncpy
00027269 0002726F _strncmp
00027274 0002727A _RtlRegisterSecureMemoryCacheCallback@4
0002727F 00027285 _DbgPrint
0002728A 00027291 __imp_load__IsWindow@4
00027291 000272A2 __tailMerge_USER32
000272A7 000272AE __imp_load__PostMessageA@16
000272B3 000272BA __imp_load__CloseDesktop@4
000272BF 000272C6 __imp_load__SetThreadDesktop@4
000272CB 000272D2 __imp_load__CloseWindowStation@4
000272D7 000272DE __imp_load__OpenDesktopA@16
000272E3 000272EA __imp_load__SetProcessWindowStation@4
000272EF 000272F6 __imp_load__OpenWindowStationA@12
000272FB 00027302 __imp_load__GetThreadDesktop@4
00027307 0002730E __imp_load__GetProcessWindowStation@0
00027313 00027319 _bind@12
0002731E 00027324 _socket@12
00027329 0002732F _recv@16
00027334 0002733A _ntohs@4
0002733F 00027345 _accept@12
0002734A 00027350 _listen@8
00027355 0002735B _send@16
00027360 00027366 _closesocket@4
0002736B 00027371 _connect@12
00027376 0002737C _gethostbyname@4
00027381 00027387 _inet_addr@4
0002738C 00027392 _select@20
00027397 0002739D _getsockname@12
000273A2 000273A8 _inet_ntoa@4
000273AD 000273B3 _WSACleanup@0
000273B8 000273BE _WSAGetLastError@0
000273C3 000273C9 _WSAProviderConfigChange@12
000273CE 000273D4 _WSASocketW@24
000273D9 000273DF _WSAStartup@8
000273E4 000273EA _ntohl@4
000273EF 000273F5 _WSAEnumProtocolsW@12
000273FA 00027400 _getservbyname@8
00027405 0002740B _getservbyport@8
00027410 00027416 _WSCDeinstallProvider@8
0002741B 00027421 _WSCUpdateProvider@20
00027426 0002742C _WSCInstallProvider@20
00027431 00027437 _gethostname@8
0002743C 00027442 _WSARecv@28
00027447 0002744D _WSAIsBlocking@0
00027452 0002745C __imp_load__DnsNameCompare_A@8
00027461 00027467 _DnsNameCompare_A@8
0002746C 00027476 __imp_load__DnsQuery_A@24
0002747B 00027481 _DnsQuery_A@24
00027486 000274B1 _HostentBlob_CreateAttachExisting@8
000274B6 000274EE _FlatBuf_Arg_CopyMemory@20
000274F3 00027595 _Dns_StringCopyAllocate@16
0002759A 000275CB _Dns_Ip6StringToAddress_A@8
000275D0 00027602 _Dns_Ip6StringToAddress_W@8
00027607 0002763D _Dns_Ip4StringToAddress_A@8
00027642 0002768F _Dns_Ip4StringToAddress_W@8
00027694 000276D1 _Dns_Ip4AddressToReverseName_W@8
0002770D 00027774 _Dns_Ip6AddressToReverseName_W@20
0002779B 0002786F _Dns_Ip4ReverseNameToAddress_A@8
00027883 0002796D _Dns_Ip6ReverseNameToAddress_A@8
0002797F 00027AC8 _Dns_StringToAddressEx@24
